line,filename,tool,target,type,num_configs,variability
294,networking/ip.c,CBMC,busybox_1_28_0,pointer dereference,559,True
121,libbb/compare_string_array.c,CBMC,busybox_1_28_0,overflow,609,False
2696,editors/vi.c,CBMC,busybox_1_28_0,pointer dereference,318,True
9467,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
7165,shell/ash.c,CBMC,busybox_1_28_0,overflow,609,False
2245,archival/gzip.c,CBMC,busybox_1_28_0,overflow,500,True
1169,coreutils/od_bloaty.c,CBMC,busybox_1_28_0,pointer dereference,234,True
59,miscutils/devmem.c,CBMC,busybox_1_28_0,overflow,296,True
1456,util-linux/fdisk.c,CBMC,busybox_1_28_0,pointer dereference,598,True
759,archival/lzop.c,CBMC,busybox_1_28_0,assertion,574,True
1165,networking/udhcp/d6_dhcpc.c,CBMC,busybox_1_28_0,pointer dereference,544,True
7021,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
537,miscutils/less.c,CBMC,busybox_1_28_0,pointer dereference,605,True
2664,editors/awk.c,CBMC,busybox_1_28_0,overflow,478,True
199,coreutils/expr.c,CBMC,busybox_1_28_0,pointer dereference,394,True
8678,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
1794,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
215,coreutils/cut.c,CBMC,busybox_1_28_0,pointer dereference,303,True
850,archival/dpkg.c,CBMC,busybox_1_28_0,pointer dereference,238,True
55,networking/udhcp/dhcprelay.c,CBMC,busybox_1_28_0,pointer dereference,294,True
7805,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
591,editors/sed.c,CBMC,busybox_1_28_0,assertion,311,True
305,archival/libarchive/open_transformer.c,CBMC,busybox_1_28_0,pointer dereference,606,True
63,<builtin-library-sqrt>,CBMC,busybox_1_28_0,NaN,587,True
844,editors/awk.c,CBMC,busybox_1_28_0,pointer dereference,478,True
219,sysklogd/logread.c,CBMC,busybox_1_28_0,overflow,180,True
89,archival/libarchive/unxz/xz_lzma2.h,CBMC,busybox_1_28_0,pointer dereference,590,True
617,procps/mpstat.c,CBMC,busybox_1_28_0,pointer dereference,318,True
809,libbb/lineedit.c,CBMC,busybox_1_28_0,overflow,174,True
39,util-linux/volume_id/ext.c,CBMC,busybox_1_28_0,overflow,288,True
231,networking/tls_aes.c,CBMC,busybox_1_28_0,overflow,438,True
702,libbb/dump.c,CBMC,busybox_1_28_0,pointer dereference,609,False
1084,networking/libiproute/iproute.c,CBMC,busybox_1_28_0,overflow,137,True
228,runit/runsvdir.c,CBMC,busybox_1_28_0,overflow,433,True
1133,runit/svlogd.c,CBMC,busybox_1_28_0,pointer dereference,308,True
509,networking/ifenslave.c,CBMC,busybox_1_28_0,pointer dereference,325,True
720,networking/ntpd.c,CBMC,busybox_1_28_0,NaN,483,True
6235,shell/ash.c,CBMC,busybox_1_28_0,overflow,609,False
548,util-linux/fdisk_osf.c,CBMC,busybox_1_28_0,overflow,319,True
365,util-linux/mkfs_reiser.c,CBMC,busybox_1_28_0,pointer dereference,313,True
4036,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
112,util-linux/switch_root.c,CBMC,busybox_1_28_0,array bounds,318,True
3848,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,315,True
165,coreutils/sort.c,CBMC,busybox_1_28_0,pointer dereference,184,True
1146,miscutils/hdparm.c,CBMC,busybox_1_28_0,pointer dereference,303,True
797,networking/traceroute.c,CBMC,busybox_1_28_0,pointer dereference,572,True
2334,shell/ash.c,CBMC,busybox_1_28_0,overflow,609,False
111,coreutils/tr.c,CBMC,busybox_1_28_0,overflow,494,True
44,miscutils/lsscsi.c,CBMC,busybox_1_28_0,overflow,292,True
306,coreutils/cut.c,CBMC,busybox_1_28_0,pointer dereference,303,True
458,procps/nmeter.c,CBMC,busybox_1_28_0,pointer dereference,288,True
32,libbb/pw_encrypt.c,CBMC,busybox_1_28_0,overflow,609,False
746,procps/mpstat.c,CBMC,busybox_1_28_0,array bounds,318,True
89,archival/libarchive/data_extract_all.c,CBMC,busybox_1_28_0,overflow,609,False
606,networking/ping.c,CBMC,busybox_1_28_0,overflow,290,True
9283,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
8453,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,319,True
486,archival/libarchive/bz/compress.c,CBMC,busybox_1_28_0,pointer dereference,325,True
1844,editors/vi.c,CBMC,busybox_1_28_0,pointer dereference,609,False
32,networking/tcpudp_perhost.c,CBMC,busybox_1_28_0,pointer dereference,433,True
479,libbb/getopt32.c,CBMC,busybox_1_28_0,pointer dereference,609,False
288,archival/libarchive/bz/blocksort.c,CBMC,busybox_1_28_0,overflow,325,True
579,runit/svlogd.c,CBMC,busybox_1_28_0,pointer dereference,308,True
1762,archival/gzip.c,CBMC,busybox_1_28_0,pointer dereference,500,True
730,networking/libiproute/ipaddress.c,CBMC,busybox_1_28_0,overflow,537,True
230,editors/sed.c,CBMC,busybox_1_28_0,overflow,311,True
29,util-linux/volume_id/util.c,CBMC,busybox_1_28_0,overflow,609,False
19,libbb/print_numbered_lines.c,CBMC,busybox_1_28_0,pointer dereference,609,False
1245,findutils/find.c,CBMC,busybox_1_28_0,pointer dereference,294,True
487,archival/cpio.c,CBMC,busybox_1_28_0,pointer dereference,449,True
41,libbb/die_if_bad_username.c,CBMC,busybox_1_28_0,pointer dereference,275,True
230,networking/udhcp/dhcpc.c,CBMC,busybox_1_28_0,pointer dereference,494,True
367,libbb/xfuncs_printf.c,CBMC,busybox_1_28_0,assertion,609,False
2203,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,313,True
315,util-linux/volume_id/get_devname.c,CBMC,busybox_1_28_0,pointer dereference,609,False
597,libbb/xfuncs_printf.c,CBMC,busybox_1_28_0,overflow,609,False
500,networking/ntpd.c,CBMC,busybox_1_28_0,NaN,483,True
263,libbb/lineedit.c,CBMC,busybox_1_28_0,pointer dereference,303,True
523,archival/tar.c,CBMC,busybox_1_28_0,pointer dereference,315,True
1981,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
553,archival/libarchive/lzo1x_9x.c,CBMC,busybox_1_28_0,overflow,289,True
706,libbb/lineedit.c,CBMC,busybox_1_28_0,overflow,200,True
160,archival/libarchive/decompress_uncompress.c,CBMC,busybox_1_28_0,pointer dereference,466,True
156,util-linux/more.c,CBMC,busybox_1_28_0,overflow,315,True
218,archival/libarchive/data_extract_all.c,CBMC,busybox_1_28_0,pointer dereference,609,False
119,util-linux/uevent.c,CBMC,busybox_1_28_0,pointer dereference,311,True
446,networking/dnsd.c,CBMC,busybox_1_28_0,overflow,307,True
3321,editors/vi.c,CBMC,busybox_1_28_0,overflow,609,False
226,coreutils/stat.c,CBMC,busybox_1_28_0,array bounds,255,True
815,archival/libarchive/lzo1x_9x.c,CBMC,busybox_1_28_0,pointer dereference,289,True
325,coreutils/date.c,CBMC,busybox_1_28_0,overflow,557,True
2333,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
190,networking/libiproute/libnetlink.c,CBMC,busybox_1_28_0,assertion,609,False
221,networking/libiproute/iplink.c,CBMC,busybox_1_28_0,pointer dereference,416,True
484,archival/libarchive/bz/blocksort.c,CBMC,busybox_1_28_0,overflow,325,True
1381,miscutils/less.c,CBMC,busybox_1_28_0,array bounds,605,True
10584,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
181,editors/sed.c,CBMC,busybox_1_28_0,assertion,145,True
1030,archival/dpkg.c,CBMC,busybox_1_28_0,overflow,238,True
374,libbb/dump.c,CBMC,busybox_1_28_0,pointer dereference,609,False
687,networking/nc_bloaty.c,CBMC,busybox_1_28_0,overflow,287,True
304,libbb/xconnect.c,CBMC,busybox_1_28_0,pointer dereference,609,False
731,networking/tftp.c,CBMC,busybox_1_28_0,assertion,439,True
616,runit/sv.c,CBMC,busybox_1_28_0,pointer dereference,443,True
512,networking/inetd.c,CBMC,busybox_1_28_0,pointer dereference,290,True
2814,util-linux/fdisk.c,CBMC,busybox_1_28_0,pointer dereference,287,True
343,util-linux/mkfs_reiser.c,CBMC,busybox_1_28_0,pointer dereference,313,True
779,editors/vi.c,CBMC,busybox_1_28_0,pointer dereference,324,True
358,miscutils/fbsplash.c,CBMC,busybox_1_28_0,overflow,319,True
427,sysklogd/syslogd.c,CBMC,busybox_1_28_0,pointer dereference,306,True
1190,util-linux/fsck_minix.c,CBMC,busybox_1_28_0,pointer dereference,173,True
2133,editors/awk.c,CBMC,busybox_1_28_0,overflow,478,True
2441,util-linux/mount.c,CBMC,busybox_1_28_0,assertion,606,True
867,networking/wget.c,CBMC,busybox_1_28_0,pointer dereference,601,True
337,editors/diff.c,CBMC,busybox_1_28_0,overflow,493,True
1254,networking/tls.c,CBMC,busybox_1_28_0,overflow,438,True
794,procps/powertop.c,CBMC,busybox_1_28_0,pointer dereference,396,True
1575,util-linux/fdisk.c,CBMC,busybox_1_28_0,pointer dereference,598,True
138,util-linux/volume_id/exfat.c,CBMC,busybox_1_28_0,pointer dereference,164,True
205,archival/libarchive/lzo1x_c.c,CBMC,busybox_1_28_0,overflow,574,True
926,e2fsprogs/fsck.c,CBMC,busybox_1_28_0,overflow,316,True
918,editors/ed.c,CBMC,busybox_1_28_0,pointer dereference,318,True
102,miscutils/microcom.c,CBMC,busybox_1_28_0,overflow,291,True
1323,util-linux/fsck_minix.c,CBMC,busybox_1_28_0,overflow,354,True
246,util-linux/setpriv.c,CBMC,busybox_1_28_0,pointer dereference,164,True
220,coreutils/id.c,CBMC,busybox_1_28_0,overflow,463,True
753,findutils/grep.c,CBMC,busybox_1_28_0,pointer dereference,578,True
954,networking/interface.c,CBMC,busybox_1_28_0,pointer dereference,607,True
1625,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,297,True
8723,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
2217,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
1871,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
122,util-linux/ipcs.c,CBMC,busybox_1_28_0,pointer dereference,310,True
742,networking/inetd.c,CBMC,busybox_1_28_0,pointer dereference,598,True
5915,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
267,networking/nc.c,CBMC,busybox_1_28_0,array bounds,299,True
1039,libbb/lineedit.c,CBMC,busybox_1_28_0,overflow,367,True
640,archival/libarchive/unxz/xz_dec_stream.c,CBMC,busybox_1_28_0,pointer dereference,590,True
11307,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
163,util-linux/hexdump.c,CBMC,busybox_1_28_0,pointer dereference,515,True
1806,util-linux/mount.c,CBMC,busybox_1_28_0,overflow,285,True
8878,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
89,procps/smemcap.c,CBMC,busybox_1_28_0,assertion,313,True
151,libbb/copyfd.c,CBMC,busybox_1_28_0,overflow,609,False
2125,archival/gzip.c,CBMC,busybox_1_28_0,pointer dereference,500,True
602,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
260,networking/arping.c,CBMC,busybox_1_28_0,pointer dereference,298,True
149,archival/libarchive/unxz/xz_lzma2.h,CBMC,busybox_1_28_0,overflow,590,True
1156,networking/httpd.c,CBMC,busybox_1_28_0,pointer dereference,609,False
124,networking/zcip.c,CBMC,busybox_1_28_0,overflow,301,True
264,loginutils/login.c,CBMC,busybox_1_28_0,overflow,579,True
589,archival/libarchive/decompress_gunzip.c,CBMC,busybox_1_28_0,pointer dereference,609,False
759,runit/svlogd.c,CBMC,busybox_1_28_0,pointer dereference,308,True
2547,editors/awk.c,CBMC,busybox_1_28_0,pointer dereference,478,True
201,mailutils/reformime.c,CBMC,busybox_1_28_0,overflow,404,True
4960,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
2457,editors/awk.c,CBMC,busybox_1_28_0,overflow,478,True
572,util-linux/mkfs_minix.c,CBMC,busybox_1_28_0,pointer dereference,336,True
127,util-linux/fdformat.c,CBMC,busybox_1_28_0,overflow,294,True
1197,archival/gzip.c,CBMC,busybox_1_28_0,pointer dereference,500,True
492,archival/libarchive/bz/blocksort.c,CBMC,busybox_1_28_0,overflow,325,True
31,networking/libiproute/ll_addr.c,CBMC,busybox_1_28_0,overflow,606,True
634,util-linux/mkfs_ext2.c,CBMC,busybox_1_28_0,overflow,154,True
461,shell/math.c,CBMC,busybox_1_28_0,pointer dereference,392,True
1037,archival/libarchive/unxz/xz_dec_lzma2.c,CBMC,busybox_1_28_0,pointer dereference,590,True
1645,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
1146,util-linux/fsck_minix.c,CBMC,busybox_1_28_0,pointer dereference,354,True
1614,editors/awk.c,CBMC,busybox_1_28_0,pointer dereference,478,True
1061,e2fsprogs/fsck.c,CBMC,busybox_1_28_0,pointer dereference,316,True
8977,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
173,archival/rpm.c,CBMC,busybox_1_28_0,pointer dereference,484,True
214,selinux/setfiles.c,CBMC,busybox_1_28_0,overflow,508,True
1009,coreutils/ls.c,CBMC,busybox_1_28_0,pointer dereference,609,False
70,console-tools/resize.c,CBMC,busybox_1_28_0,overflow,397,True
1078,miscutils/devfsd.c,CBMC,busybox_1_28_0,overflow,523,True
1401,editors/sed.c,CBMC,busybox_1_28_0,overflow,101,True
467,loginutils/getty.c,CBMC,busybox_1_28_0,overflow,292,True
3119,util-linux/fdisk.c,CBMC,busybox_1_28_0,overflow,591,True
10460,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,609,False
654,libbb/dump.c,CBMC,busybox_1_28_0,pointer dereference,609,False
737,editors/vi.c,CBMC,busybox_1_28_0,overflow,117,True
543,networking/dnsd.c,CBMC,busybox_1_28_0,assertion,307,True
280,coreutils/stat.c,CBMC,busybox_1_28_0,pointer dereference,136,True
145,networking/nbd-client.c,CBMC,busybox_1_28_0,overflow,321,True
326,networking/nc_bloaty.c,CBMC,busybox_1_28_0,pointer dereference,287,True
825,util-linux/mdev.c,CBMC,busybox_1_28_0,overflow,577,True
3990,editors/vi.c,CBMC,busybox_1_28_0,pointer dereference,609,False
703,miscutils/setserial.c,CBMC,busybox_1_28_0,array bounds,322,True
569,coreutils/ls.c,CBMC,busybox_1_28_0,overflow,581,True
41,libbb/ubi.c,CBMC,busybox_1_28_0,overflow,609,False
6983,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,609,False
530,util-linux/fsck_minix.c,CBMC,busybox_1_28_0,overflow,354,True
1097,networking/wget.c,CBMC,busybox_1_28_0,pointer dereference,305,True
81,libbb/verror_msg.c,CBMC,busybox_1_28_0,overflow,609,False
2719,libbb/lineedit.c,CBMC,busybox_1_28_0,pointer dereference,604,True
511,procps/iostat.c,CBMC,busybox_1_28_0,overflow,291,True
55,util-linux/wall.c,CBMC,busybox_1_28_0,assertion,293,True
282,util-linux/switch_root.c,CBMC,busybox_1_28_0,pointer dereference,473,True
444,archival/gzip.c,CBMC,busybox_1_28_0,pointer dereference,500,True
69,networking/libiproute/ll_addr.c,CBMC,busybox_1_28_0,pointer dereference,606,True
1779,networking/httpd.c,CBMC,busybox_1_28_0,pointer dereference,166,True
581,runit/sv.c,CBMC,busybox_1_28_0,overflow,443,True
