line,filename,tool,target,type,num_configs,variability
149,appletlib.c,clang,busybox_1_28_0,Dead store,178,TRUE
155,appletlib.c,clang,busybox_1_28_0,Logic error,393,TRUE
695,appletlib.c,clang,busybox_1_28_0,Security,726,TRUE
696,appletlib.c,clang,busybox_1_28_0,Security,726,TRUE
932,appletlib.c,clang,busybox_1_28_0,API,1000,FALSE
194,arping.c,clang,busybox_1_28_0,Logic error,531,TRUE
1503,ash.c,clang,busybox_1_28_0,Memory error,379,TRUE
2262,ash.c,clang,busybox_1_28_0,Memory error,1000,FALSE
2282,ash.c,clang,busybox_1_28_0,Memory error,1000,FALSE
2304,ash.c,clang,busybox_1_28_0,Memory error,1000,FALSE
3346,ash.c,clang,busybox_1_28_0,Memory error,519,TRUE
3743,ash.c,clang,busybox_1_28_0,Dead store,511,TRUE
5887,ash.c,clang,busybox_1_28_0,Dead store,1000,FALSE
5888,ash.c,clang,busybox_1_28_0,Dead store,1000,FALSE
7422,ash.c,clang,busybox_1_28_0,Memory error,379,TRUE
9057,ash.c,clang,busybox_1_28_0,Logic error,519,TRUE
9150,ash.c,clang,busybox_1_28_0,Logic error,1000,FALSE
9230,ash.c,clang,busybox_1_28_0,Logic error,1000,FALSE
9850,ash.c,clang,busybox_1_28_0,Logic error,765,TRUE
11461,ash.c,clang,busybox_1_28_0,Dead store,483,TRUE
898,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
1285,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2033,awk.c,clang,busybox_1_28_0,Dead store,791,TRUE
2303,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2316,awk.c,clang,busybox_1_28_0,Logic error,391,TRUE
2331,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2333,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2344,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2345,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2361,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2365,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2369,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2373,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2377,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2381,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2387,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2400,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2401,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2424,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2428,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2436,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2440,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2441,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2457,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2461,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2465,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
2506,awk.c,clang,busybox_1_28_0,Logic error,791,TRUE
123,bbunzip.c,clang,busybox_1_28_0,Logic error,507,TRUE
