line,filename,tool,target,type,num_configs,variability,classification,features,common_fail,common_pass
2506,awk.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,791,TRUE,,CONFIG_AWK,"CONFIG_AWK,","CONFIG_FEATURE_IPV6,CONFIG_FEATURE_EDITING_MAX_LEN,CONFIG_CHAT,-CONFIG_FEATURE_AWK_GNU_EXTENSIONS,CONFIG_HTTPD,CONFIG_FDISK,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,-CONFIG_FEATURE_AWK_LIBM,CONFIG_LESS,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_EDITING_HISTORY,CONFIG_FEATURE_LESS_MAXLINES,-CONFIG_AWK,"
2792,awk.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,791,TRUE,,CONFIG_AWK,"CONFIG_AWK,","CONFIG_FEATURE_IPV6,CONFIG_FEATURE_EDITING_MAX_LEN,CONFIG_CHAT,-CONFIG_FEATURE_AWK_GNU_EXTENSIONS,CONFIG_HTTPD,CONFIG_FDISK,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,-CONFIG_FEATURE_AWK_LIBM,CONFIG_LESS,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_EDITING_HISTORY,CONFIG_FEATURE_LESS_MAXLINES,-CONFIG_AWK,"
3011,awk.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,791,TRUE,,CONFIG_AWK,"CONFIG_AWK,","CONFIG_FEATURE_IPV6,CONFIG_FEATURE_EDITING_MAX_LEN,CONFIG_CHAT,-CONFIG_FEATURE_AWK_GNU_EXTENSIONS,CONFIG_HTTPD,CONFIG_FDISK,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,-CONFIG_FEATURE_AWK_LIBM,CONFIG_LESS,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_EDITING_HISTORY,CONFIG_FEATURE_LESS_MAXLINES,-CONFIG_AWK,"
70,beep.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,506,TRUE,,check,"CONFIG_FEATURE_BEEP_FREQ,CONFIG_HTTPD,CONFIG_BEEP,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_BEEP_LENGTH_MS,","CONFIG_FEATURE_EDITING_MAX_LEN,-CONFIG_FEATURE_BEEP_FREQ,CONFIG_CHAT,-CONFIG_BEEP,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,CONFIG_FEATURE_EDITING_HISTORY,-CONFIG_FEATURE_BEEP_LENGTH_MS,"
71,beep.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,506,TRUE,,check,"CONFIG_FEATURE_BEEP_FREQ,CONFIG_HTTPD,CONFIG_BEEP,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_BEEP_LENGTH_MS,","CONFIG_FEATURE_EDITING_MAX_LEN,-CONFIG_FEATURE_BEEP_FREQ,CONFIG_CHAT,-CONFIG_BEEP,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,CONFIG_FEATURE_EDITING_HISTORY,-CONFIG_FEATURE_BEEP_LENGTH_MS,"
72,beep.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,506,TRUE,,check,"CONFIG_FEATURE_BEEP_FREQ,CONFIG_HTTPD,CONFIG_BEEP,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_BEEP_LENGTH_MS,","CONFIG_FEATURE_EDITING_MAX_LEN,-CONFIG_FEATURE_BEEP_FREQ,CONFIG_CHAT,-CONFIG_BEEP,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,CONFIG_FEATURE_EDITING_HISTORY,-CONFIG_FEATURE_BEEP_LENGTH_MS,"
73,beep.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,506,TRUE,,check,"CONFIG_FEATURE_BEEP_FREQ,CONFIG_HTTPD,CONFIG_BEEP,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_BEEP_LENGTH_MS,","CONFIG_FEATURE_EDITING_MAX_LEN,-CONFIG_FEATURE_BEEP_FREQ,CONFIG_CHAT,-CONFIG_BEEP,CONFIG_MOUNT,CONFIG_FEATURE_EDITING,CONFIG_FEATURE_EDITING_HISTORY,-CONFIG_FEATURE_BEEP_LENGTH_MS,"
281,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,969,TRUE,,-CONFIG_FEATURE_IPV6 or -CONFIG_FEATURE_EDITING_MAX_LEN or -CONFIG_UNICODE_SUPPORT or -CONFIG_FEATURE_UTMP or -CONFIG_LAST_SUPPORTED_WCHAR or -CONFIG_CHAT or -CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS or -CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE or -CONFIG_DEFAULT_DEPMOD_FILE or -CONFIG_HTTPD or -CONFIG_MOUNT or -CONFIG_DEFAULT_MODULES_DIR or CONFIG_CHPST or CONFIG_ENVDIR or -CONFIG_FEATURE_EDITING or -CONFIG_SUBST_WCHAR or -CONFIG_LESS or -CONFIG_LS or -CONFIG_UDHCP_DEBUG or -CONFIG_FEATURE_EDITING_HISTORY or -CONFIG_XARGS or CONFIG_SETUIDGID or -CONFIG_TAR or -CONFIG_FEATURE_LESS_MAXLINES or -CONFIG_INIT_TERMINAL_TYPE or -CONFIG_IFUPDOWN_IFSTATE_PATH or CONFIG_ENVUIDGID or -CONFIG_DD or CONFIG_SOFTLIMIT or -CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS or -CONFIG_INETD or -CONFIG_TOP or -CONFIG_SYSLOGD,,"CONFIG_FEATURE_IPV6,CONFIG_FEATURE_EDITING_MAX_LEN,CONFIG_UNICODE_SUPPORT,CONFIG_FEATURE_UTMP,CONFIG_LAST_SUPPORTED_WCHAR,CONFIG_CHAT,CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS,CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE,CONFIG_DEFAULT_DEPMOD_FILE,CONFIG_HTTPD,CONFIG_MOUNT,CONFIG_DEFAULT_MODULES_DIR,-CONFIG_CHPST,-CONFIG_ENVDIR,CONFIG_FEATURE_EDITING,CONFIG_SUBST_WCHAR,CONFIG_LESS,CONFIG_LS,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_EDITING_HISTORY,CONFIG_XARGS,-CONFIG_SETUIDGID,CONFIG_TAR,CONFIG_FEATURE_LESS_MAXLINES,CONFIG_INIT_TERMINAL_TYPE,CONFIG_IFUPDOWN_IFSTATE_PATH,-CONFIG_ENVUIDGID,CONFIG_DD,-CONFIG_SOFTLIMIT,CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS,CONFIG_INETD,CONFIG_TOP,CONFIG_SYSLOGD,"
282,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,969,TRUE,,-CONFIG_FEATURE_IPV6 or -CONFIG_FEATURE_EDITING_MAX_LEN or -CONFIG_UNICODE_SUPPORT or -CONFIG_FEATURE_UTMP or -CONFIG_LAST_SUPPORTED_WCHAR or -CONFIG_CHAT or -CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS or -CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE or -CONFIG_DEFAULT_DEPMOD_FILE or -CONFIG_HTTPD or -CONFIG_MOUNT or -CONFIG_DEFAULT_MODULES_DIR or CONFIG_CHPST or CONFIG_ENVDIR or -CONFIG_FEATURE_EDITING or -CONFIG_SUBST_WCHAR or -CONFIG_LESS or -CONFIG_LS or -CONFIG_UDHCP_DEBUG or -CONFIG_FEATURE_EDITING_HISTORY or -CONFIG_XARGS or CONFIG_SETUIDGID or -CONFIG_TAR or -CONFIG_FEATURE_LESS_MAXLINES or -CONFIG_INIT_TERMINAL_TYPE or -CONFIG_IFUPDOWN_IFSTATE_PATH or CONFIG_ENVUIDGID or -CONFIG_DD or CONFIG_SOFTLIMIT or -CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS or -CONFIG_INETD or -CONFIG_TOP or -CONFIG_SYSLOGD,,"CONFIG_FEATURE_IPV6,CONFIG_FEATURE_EDITING_MAX_LEN,CONFIG_UNICODE_SUPPORT,CONFIG_FEATURE_UTMP,CONFIG_LAST_SUPPORTED_WCHAR,CONFIG_CHAT,CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS,CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE,CONFIG_DEFAULT_DEPMOD_FILE,CONFIG_HTTPD,CONFIG_MOUNT,CONFIG_DEFAULT_MODULES_DIR,-CONFIG_CHPST,-CONFIG_ENVDIR,CONFIG_FEATURE_EDITING,CONFIG_SUBST_WCHAR,CONFIG_LESS,CONFIG_LS,CONFIG_UDHCP_DEBUG,CONFIG_FEATURE_EDITING_HISTORY,CONFIG_XARGS,-CONFIG_SETUIDGID,CONFIG_TAR,CONFIG_FEATURE_LESS_MAXLINES,CONFIG_INIT_TERMINAL_TYPE,CONFIG_IFUPDOWN_IFSTATE_PATH,-CONFIG_ENVUIDGID,CONFIG_DD,-CONFIG_SOFTLIMIT,CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS,CONFIG_INETD,CONFIG_TOP,CONFIG_SYSLOGD,"
349,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,216,TRUE,,check,"CONFIG_FEATURE_UTMP,CONFIG_HTTPD,CONFIG_FDISK,CONFIG_MOUNT,-CONFIG_CHPST,CONFIG_LS,CONFIG_UDHCP_DEBUG,CONFIG_INIT_TERMINAL_TYPE,-CONFIG_SOFTLIMIT,","CONFIG_FEATURE_IPV6,"
