line,filename,tool,target,type,num_configs,classification,variability,features,common_fail,common_pass,ID,manual_features,num_manual_features,Variability implementation,Source of Variability
287,asn1.c,clang,axtls_2_1_4,Memory error,1000,TRUE,FALSE,generic,"CONFIG_HTTP_TIMEOUT,CONFIG_SSL_SERVER_ONLY,CONFIG_SSL_EXPIRY_TIME,CONFIG_SSL_MAX_CERTS,HAVE_DOT_CONFIG,CONFIG_AXHTTPD,PREFIX,CONFIG_HTTP_PORT,CONFIG_HTTP_HTTPS_PORT,CONFIG_HTTP_WEBROOT,CONFIG_HTTP_SESSION_CACHE_SIZE,CONFIG_PLATFORM_LINUX,-CONFIG_WIN32_USE_CRYPTO_LIB,-CONFIG_JAVA_BINDINGS,-CONFIG_HTTP_ENABLE_LUA,-CONFIG_LUA_BINDINGS,-CONFIG_PLATFORM_CYGWIN,-CONFIG_BINDINGS,-CONFIG_PERL_LIB,-CONFIG_VISUAL_STUDIO_7_0_BASE,-CONFIG_LUA_CORE,-CONFIG_VISUAL_STUDIO_7_0,-CONFIG_SSL_CERT_VERIFICATION,-CONFIG_SSL_ENABLE_CLIENT,-CONFIG_PERFORMANCE_TESTING,-CONFIG_VISUAL_STUDIO_10_0,-CONFIG_HTTP_BUILD_LUA,-CONFIG_PERL_SAMPLES,-CONFIG_SSL_SKELETON_MODE,-CONFIG_HTTP_LUA_PREFIX,-CONFIG_CSHARP_BINDINGS,-CONFIG_SSL_FULL_MODE,-CONFIG_VBNET_BINDINGS,-CONFIG_VISUAL_STUDIO_8_0,-CONFIG_VISUAL_STUDIO_8_0_BASE,-CONFIG_X509_MAX_CA_CERTS,-CONFIG_LUA_SAMPLES,-CONFIG_VISUAL_STUDIO_10_0_BASE,-CONFIG_JAVA_SAMPLES,-CONFIG_PLATFORM_WIN32,-CONFIG_PERL_BINDINGS,-CONFIG_CSHARP_SAMPLES,-CONFIG_VBNET_SAMPLES,-CONFIG_PERL_CORE,-CONFIG_DOT_NET_FRAMEWORK_BASE,-CONFIG_SSL_TEST,-CONFIG_JAVA_HOME,",,#VALUE!,generic,0,,N/A
297,asn1.c,clang,axtls_2_1_4,Memory error,519,TRUE,TRUE,CONFIG_BIGINT_CRT,"CONFIG_BIGINT_CRT,","-CONFIG_BIGINT_CRT,",#VALUE!,CONFIG_BIGING_CRT,1,Source,Preprocessor
164,axtlswrap.c,clang,axtls_2_1_4,Security,529,TRUE,TRUE,CONFIG_AXTLSWRAP,"CONFIG_AXTLSWRAP,","-CONFIG_AXTLSWRAP,",#VALUE!,CONFIG_AXTLSWRAP,1,Makefile,Makefile
368,axtlswrap.c,clang,axtls_2_1_4,Logic error,529,TRUE,TRUE,CONFIG_AXTLSWRAP,"CONFIG_AXTLSWRAP,","-CONFIG_AXTLSWRAP,",#VALUE!,CONFIG_AXTLSWRAP,1,Makefile,Makefile
136,htpasswd.c,clang,axtls_2_1_4,Memory error,468,TRUE,TRUE,CONFIG_HTTP_HAS_AUTHORIZATION,"CONFIG_HTTP_HAS_AUTHORIZATION,","-CONFIG_HTTP_HAS_AUTHORIZATION,",#VALUE!,CONFIG_HTTP_HAS_AUTHORIZATION and CONFIG_AXHTTPD,2,"CONFIG_HTTP_HAS_AUTHORIZATION (Makefile), CONFIG_AXHTTPD (Makefile, Dependency)",Makefile+Dependency
628,proc.c,clang,axtls_2_1_4,Security,527,TRUE,TRUE,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER,"CONFIG_HTTP_CGI_EXTENSIONS,CONFIG_HTTP_HAS_CGI,CONFIG_HTTP_CGI_LAUNCHER,","-CONFIG_HTTP_CGI_LAUNCHER,-CONFIG_HTTP_HAS_CGI,-CONFIG_HTTP_CGI_EXTENSIONS,",#VALUE!,CONFIG_HTTP_HAS_CGI,1,Source,Preprocessor
662,proc.c,clang,axtls_2_1_4,Logic error,527,TRUE,TRUE,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER,"CONFIG_HTTP_CGI_EXTENSIONS,CONFIG_HTTP_HAS_CGI,CONFIG_HTTP_CGI_LAUNCHER,","-CONFIG_HTTP_CGI_LAUNCHER,-CONFIG_HTTP_HAS_CGI,-CONFIG_HTTP_CGI_EXTENSIONS,",#VALUE!,CONFIG_HTTP_HAS_CGI,1,Source,Preprocessor
24,chvt.c,clang,toybox_0_7_5,Logic error,520,TRUE,TRUE,CONFIG_CHVT,"CONFIG_CHVT,","-CONFIG_CHVT,",#VALUE!,CONFIG_CHVT,1,Makefile,Makefile
137,date.c,clang,toybox_0_7_5,Logic error,516,TRUE,TRUE,CONFIG_DATE,"CONFIG_DATE,","-CONFIG_DATE,",#VALUE!,CONFIG_DATE,1,Makefile,Makefile
89,hwclock.c,clang,toybox_0_7_5,Logic error,474,TRUE,TRUE,CONFIG_HWCLOCK,"CONFIG_HWCLOCK,","-CONFIG_HWCLOCK,",#VALUE!,CONFIG_HWCLOCK,1,Makefile,Makefile
