line,filename,tool,target,type,num_configs,variability
5887,ash.c,clang,busybox_1_28_0,Dead store,1,False
375,copy_file.c,clang,busybox_1_28_0,Memory error,1,False
9230,ash.c,clang,busybox_1_28_0,Logic error,1,False
223,split-include.c,clang,busybox_1_28_0,Memory error,1,False
125,mconf.c,clang,busybox_1_28_0,Logic error,1,False
682,xfuncs_printf.c,clang,busybox_1_28_0,Logic error,1,False
109,mconf.c,clang,busybox_1_28_0,Logic error,1,False
206,read_key.c,clang,busybox_1_28_0,Dead store,1,False
408,conf.c,clang,busybox_1_28_0,Logic error,1,False
250,conf.c,clang,busybox_1_28_0,Logic error,1,False
3743,ash.c,clang,busybox_1_28_0,Dead store,1,False
5888,ash.c,clang,busybox_1_28_0,Dead store,1,False
2304,ash.c,clang,busybox_1_28_0,Memory error,1,False
2282,ash.c,clang,busybox_1_28_0,Memory error,1,False
218,conf.c,clang,busybox_1_28_0,Logic error,1,False
79,applet_tables.c,clang,busybox_1_28_0,Dead store,1,False
174,split-include.c,clang,busybox_1_28_0,Memory error,1,False
166,vfork_daemon_rexec.c,clang,busybox_1_28_0,Security,1,False
2262,ash.c,clang,busybox_1_28_0,Memory error,1,False
130,docproc.c,clang,busybox_1_28_0,Unix API,1,False
68,verror_msg.c,clang,busybox_1_28_0,Dead store,1,False
177,vfork_daemon_rexec.c,clang,busybox_1_28_0,Logic error,1,False
9150,ash.c,clang,busybox_1_28_0,Logic error,1,False
