line,filename,tool,target,type,num_configs,variability
210,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
201,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
176,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
196,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
218,lib_xwrap.c,clang,toybox_0_7_5,Security,1,False
366,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
309,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
21,lib_help.c,clang,toybox_0_7_5,Dead store,1,False
490,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
33,lib_password.c,clang,toybox_0_7_5,Dead store,1,False
