iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,4292,[]
1,601,41.51910531220876,2510,['601']
2,287,65.02795899347623,1501,"['601', '287']"
3,725,78.56477166821995,920,"['601', '287', '725']"
4,987,86.85927306616962,564,"['601', '287', '725', '987']"
5,489,91.93849021435229,346,"['601', '287', '725', '987', '489']"
6,296,95.01397949673812,214,"['601', '287', '725', '987', '489', '296']"
7,739,96.94780987884435,131,"['601', '287', '725', '987', '489', '296', '739']"
8,845,98.11276794035415,81,"['601', '287', '725', '987', '489', '296', '739', '845']"
9,659,98.8350419384902,50,"['601', '287', '725', '987', '489', '296', '739', '845', '659']"
10,782,99.30102516309412,30,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782']"
11,503,99.58061509785648,18,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503']"
12,671,99.76700838769804,10,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671']"
13,430,99.86020503261882,6,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671', '430']"
14,539,99.90680335507922,4,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671', '430', '539']"
15,48,99.95340167753962,2,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671', '430', '539', '48']"
16,894,99.9767008387698,1,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671', '430', '539', '48', '894']"
17,894,100.0,0,"['601', '287', '725', '987', '489', '296', '739', '845', '659', '782', '503', '671', '430', '539', '48', '894', '894']"
