iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,1639,[]
1,914,42.46491763270287,943,['914']
2,611,65.03965832824893,573,"['914', '611']"
3,25,76.69310555216595,382,"['914', '611', '25']"
4,699,82.79438682123245,282,"['914', '611', '25', '699']"
5,68,88.04148871262966,196,"['914', '611', '25', '699', '68']"
6,423,91.39719341061623,141,"['914', '611', '25', '699', '68', '423']"
7,816,93.95973154362416,99,"['914', '611', '25', '699', '68', '423', '816']"
8,237,95.66809029896278,71,"['914', '611', '25', '699', '68', '423', '816', '237']"
9,816,96.94935936546675,50,"['914', '611', '25', '699', '68', '423', '816', '237', '816']"
10,344,97.7425259304454,37,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344']"
11,721,98.29164124466138,28,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721']"
12,299,98.71873093349603,21,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299']"
13,20,99.02379499694935,16,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20']"
14,821,99.32885906040269,11,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821']"
15,971,99.51189749847468,8,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971']"
16,901,99.63392312385601,6,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901']"
17,983,99.75594874923735,4,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901', '983']"
18,913,99.81696156192801,3,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901', '983', '913']"
19,983,99.87797437461867,2,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901', '983', '913', '983']"
20,913,99.93898718730934,1,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901', '983', '913', '983', '913']"
21,299,100.0,0,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '344', '721', '299', '20', '821', '971', '901', '983', '913', '983', '913', '299']"
