iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,29188,[]
1,899,43.29518980402906,16551,['899']
2,465,67.30848293819378,9542,"['899', '465']"
3,146,80.6393038234891,5651,"['899', '465', '146']"
4,120,88.08757023434288,3477,"['899', '465', '146', '120']"
5,749,92.5551596546526,2173,"['899', '465', '146', '120', '749']"
6,370,95.17609976702755,1408,"['899', '465', '146', '120', '749', '370']"
7,149,96.81375907907359,930,"['899', '465', '146', '120', '749', '370', '149']"
8,953,97.84500479649171,629,"['899', '465', '146', '120', '749', '370', '149', '953']"
9,372,98.55420035631082,422,"['899', '465', '146', '120', '749', '370', '149', '953', '372']"
10,931,99.0167191996711,287,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931']"
11,187,99.28395230916816,209,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187']"
12,277,99.46553378100589,156,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277']"
13,473,99.59572427024804,118,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473']"
14,49,99.69508016993285,89,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49']"
15,384,99.76360148006029,69,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384']"
16,785,99.82869672468138,50,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785']"
17,622,99.86638344525147,39,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622']"
18,768,99.90064410031519,29,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768']"
19,98,99.92462655885981,22,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98']"
20,963,99.94175688639166,17,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963']"
21,382,99.95546114841716,13,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382']"
22,852,99.96916541044266,9,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852']"
23,382,99.97601754145539,7,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382']"
24,15,99.98286967246813,5,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15']"
25,547,99.9862957379745,4,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15', '547']"
26,327,99.98972180348088,3,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15', '547', '327']"
27,52,99.99314786898725,2,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15', '547', '327', '52']"
28,881,99.99657393449363,1,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15', '547', '327', '52', '881']"
29,776,100.0,0,"['899', '465', '146', '120', '749', '370', '149', '953', '372', '931', '187', '277', '473', '49', '384', '785', '622', '768', '98', '963', '382', '852', '382', '15', '547', '327', '52', '881', '776']"
