iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,3537,[]
1,737,33.135425501837716,2365,['737']
2,432,54.28329092451229,1617,"['737', '432']"
3,115,68.75883517104891,1105,"['737', '432', '115']"
4,833,77.4950523042126,796,"['737', '432', '115', '833']"
5,699,83.34746960701159,589,"['737', '432', '115', '833', '699']"
6,585,87.61662425784563,438,"['737', '432', '115', '833', '699', '585']"
7,475,90.69833191970596,329,"['737', '432', '115', '833', '699', '585', '475']"
8,429,92.81877297144473,254,"['737', '432', '115', '833', '699', '585', '475', '429']"
9,93,94.43030817076618,197,"['737', '432', '115', '833', '699', '585', '475', '429', '93']"
10,786,95.70257280180944,152,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786']"
11,895,96.74865705400056,115,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895']"
12,209,97.48374328527001,89,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209']"
13,762,98.04919423240034,69,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762']"
14,819,98.47328244274809,54,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819']"
15,956,98.75600791631327,44,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956']"
16,159,98.92564320045236,38,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159']"
17,51,99.12355103194798,31,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51']"
18,265,99.26491376873057,26,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265']"
19,76,99.37800395815664,22,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76']"
20,282,99.49109414758269,18,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282']"
21,544,99.57591178965225,15,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544']"
22,155,99.66072943172179,12,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155']"
23,785,99.71727452643484,10,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785']"
24,99,99.77381962114787,8,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99']"
25,164,99.80209216850439,7,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164']"
26,920,99.8303647158609,6,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920']"
27,460,99.85863726321742,5,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460']"
28,87,99.88690981057393,4,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460', '87']"
29,785,99.91518235793045,3,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460', '87', '785']"
30,858,99.94345490528697,2,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460', '87', '785', '858']"
31,164,99.97172745264349,1,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460', '87', '785', '858', '164']"
32,329,100.0,0,"['737', '432', '115', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '819', '956', '159', '51', '265', '76', '282', '544', '155', '785', '99', '164', '920', '460', '87', '785', '858', '164', '329']"
