Fri Oct 12 00:25:52 EDT 2018
processing ./loginutils/passwd.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/535.config/loginutils/passwd.c.cli
Checking loginutils/passwd.c ...
Checking loginutils/passwd.c: AF_NETLINK...
Checking loginutils/passwd.c: AF_PACKET...
Checking loginutils/passwd.c: ANDROID;__ANDROID__...
Checking loginutils/passwd.c: ARG_MAX...
Checking loginutils/passwd.c: BB_MMU...
Checking loginutils/passwd.c: BYTE_ORDER...
Checking loginutils/passwd.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/passwd.c: DMALLOC...
Checking loginutils/passwd.c: ENABLE_DESKTOP...
Checking loginutils/passwd.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/passwd.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/passwd.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/passwd.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/passwd.c: ENABLE_FEATURE_EDITING...
Checking loginutils/passwd.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/passwd.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/passwd.c: ENABLE_FEATURE_HWIB...
Checking loginutils/passwd.c: ENABLE_FEATURE_INDIVIDUAL...
Checking loginutils/passwd.c: ENABLE_FEATURE_IPV6...
Checking loginutils/passwd.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking loginutils/passwd.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking loginutils/passwd.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking loginutils/passwd.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking loginutils/passwd.c: ENABLE_FEATURE_TOPMEM...
Checking loginutils/passwd.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking loginutils/passwd.c: ENABLE_FEATURE_UTMP...
Checking loginutils/passwd.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking loginutils/passwd.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking loginutils/passwd.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking loginutils/passwd.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking loginutils/passwd.c: ENABLE_LFS...
Checking loginutils/passwd.c: ENABLE_LOCALE_SUPPORT...
Checking loginutils/passwd.c: ENABLE_LONG_OPTS...
Checking loginutils/passwd.c: ENABLE_ROUTE...
Checking loginutils/passwd.c: ENABLE_SELINUX...
Checking loginutils/passwd.c: ENABLE_USE_BB_PWD_GRP...
Checking loginutils/passwd.c: HAVE_MNTENT_H...
Checking loginutils/passwd.c: HAVE_PRINTF_PERCENTM...
Checking loginutils/passwd.c: HAVE_SYS_STATFS_H...
Checking loginutils/passwd.c: HAVE_UNLOCKED_LINE_OPS...
Checking loginutils/passwd.c: HAVE_UNLOCKED_STDIO...
Checking loginutils/passwd.c: TASK_COMM_LEN...
Checking loginutils/passwd.c: UINT_MAX=0xffffffff...
Checking loginutils/passwd.c: UNUSED_FOR_NOW...
Checking loginutils/passwd.c: WANT_PIDFILE...
Checking loginutils/passwd.c: _BYTE_ORDER...
Checking loginutils/passwd.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking loginutils/passwd.c: _SC_ARG_MAX...
Checking loginutils/passwd.c: __386__...
Checking loginutils/passwd.c: __APPLE__...
Checking loginutils/passwd.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking loginutils/passwd.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking loginutils/passwd.c: __BYTE_ORDER...
Checking loginutils/passwd.c: __CYGWIN__...
Checking loginutils/passwd.c: __FreeBSD__...
Checking loginutils/passwd.c: __FreeBSD__;__OpenBSD__...
Checking loginutils/passwd.c: __FreeBSD_kernel__...
Checking loginutils/passwd.c: __GLIBC__...
Checking loginutils/passwd.c: __GNUC_MINOR__;__GNUC__...
Checking loginutils/passwd.c: __GNU__...
Checking loginutils/passwd.c: __NetBSD__...
Checking loginutils/passwd.c: __STDC_VERSION__...
Checking loginutils/passwd.c: __UCLIBC__...
Checking loginutils/passwd.c: __WATCOMC__...
Checking loginutils/passwd.c: __cris__;__mips__;__x86_64__;i386...
Checking loginutils/passwd.c: __dietlibc__...
Checking loginutils/passwd.c: __digital__;__unix__...
Checking loginutils/passwd.c: __linux__...
Checking loginutils/passwd.c: __powerpc__;__x86_64__;i386...
Checking loginutils/passwd.c: i386...
processing ./loginutils/add-remove-shell.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/9.config/loginutils/add-remove-shell.c.cli
Checking loginutils/add-remove-shell.c ...
Checking loginutils/add-remove-shell.c: AF_NETLINK...
Checking loginutils/add-remove-shell.c: AF_PACKET...
Checking loginutils/add-remove-shell.c: ANDROID;__ANDROID__...
Checking loginutils/add-remove-shell.c: ARG_MAX...
Checking loginutils/add-remove-shell.c: BB_MMU...
Checking loginutils/add-remove-shell.c: BYTE_ORDER...
Checking loginutils/add-remove-shell.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking loginutils/add-remove-shell.c: DMALLOC...
Checking loginutils/add-remove-shell.c: ENABLE_DESKTOP...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_CHECK_NAMES...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_DEVFS...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_EDITING...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking loginutils/add-remove-shell.c: ENABLE_FEATURE_HWIB...
