hash,verdict,type,file,line,message,,reasoning,features
34238d23df0cf6c422f6a2e1a7b66d7d,TRUE,Null Dereference,loader.c,72,"pointer `ssl_obj` last assigned on line 71 could be null and is dereferenced at line 72, column 5.",,calloc can fail,!SKELETON_MODE
adb2170b2e216ace1a0eb5bb9997bf56,TRUE,Null Dereference,openssl.c,69,"pointer `ssl_ctx->bonus_attr` last assigned on line 68 could be null and is dereferenced at line 69, column 5.",,malloc can fail,OPENSSL_COMPATIBLE
12bddc677414bd4f775411cac7e97f06,TRUE,Null Dereference,crypto/bigint.c,105,"pointer `ctx->bi_radix->comps` last assigned on line 104 could be null and is dereferenced at line 105, column 5.",,alloc can fail,!SKELETON_MODE
2201adba948aa2ded317615db6d31cad,TRUE,Null Dereference,crypto/bigint.c,104,"pointer `ctx` last assigned on line 101 could be null and is dereferenced by call to `alloc()` at line 104, column 21.",,alloc can fail,!SKELETON_MODE
0cd5772080ddcd0615488903fa58b164,TRUE,Null Dereference,ssl/loader.c,116,"pointer `ssl_obj->buf` last assigned on line 115 could be null and is dereferenced by call to `memcpy()` at line 116, column 5.",,malloc can fail,generic
6e95c7327b18743a34aa1c519e39ef4c,TRUE,Null Dereference,ssl/loader.c,115,"pointer `ssl_obj` last assigned on line 114 could be null and is dereferenced at line 115, column 5.",,calloc can fail,generic
37313b4f8fc39fabbfb26a4f17261425,TRUE,Null Dereference,ssl/asn1.c,169,"pointer `*object` last assigned on line 168 could be null and is dereferenced by call to `memcpy()` at line 169, column 5.",,malloc can fail,generic
de68b44bc9f5c68d4e390012e216cc2a,TRUE,Null Dereference,ssl/p12.c,173,"pointer `uni_pass` last assigned on line 168 could be null and is dereferenced at line 173, column 9.",,malloc can fail,SSL_USE_PKCS12
683a2507a02004432ee6e12bc43e297a,TRUE,NULL Dereference,ssl/p12.c,177,"pointer `uni_pass` last assigned on line 168 could be null and is dereferenced at line 177, column 5.",,,SSL_USE_PKCS12
5e8ff25ae54b1efe275281cfcd7c4ac1,TRUE,Null Dereference,ssl/t1s1.c,169,"pointer `ssl_ctx` last assigned on line 168 could be null and is dereferenced at line 169, column 5.",,calloc can fail,generic
cd9cbaefcf9ae8ab7805f38cb3b8e92a,TRUE,Null Dereference,ssl/p12.c,288,"pointer `auth_safes` last assigned on line 286 could be null and is dereferenced by call to `memcpy()` at line 288, column 5.",,malloc can fail,SSL_USE_PKCS12
89c5f5372b687175b4ac7e41569184f9,TRUE,Null Dereference,crypto/bigint.c,252,"pointer `biR->comps` last assigned on line 251 could be null and is dereferenced at line 252, column 5.",,alloc can fail,!SKELETON_MODE
fbd9f8f9411333e664202da4423e749f,TRUE,Null Dereference,crypto/bigint.c,265,"pointer `biR->comps` last assigned on line 263 could be null and is dereferenced by call to `memcpy()` at line 265, column 5.""",,alloc can fail,!SKELETON_MODE
89953b9c099cf59ac661d67c46cab8a8,FALSE,Uninitialized Value,crypto/aes.c,276,The value read from iv[_] was never initialized.,,"iv is initialized by memcpy. Assuming that memcpy is passed valid pointers, it will never fail.",
3cf66775aeab469b2624a54842c166a8,FALSE,Uninitialized Value,crypto/aes.c,286,The value read from msg_32[_] was never initialized,,msg_32 is initialized by memcpy,
c6a126b9fc1e447f1f7df4dd01ea11fe,FALSE,Uninitialized Value,crypto/aes.c,301,The value read from tout[_] was never initialized.,,tout is initialized by the for loop,
6e7dc3c1ccc4708e808aec347c568948,FALSE,Uninitialized Value,crypto/aes.c,315,The value read from iv[_] was never initialized,,"iv is initialized by memcpy. Assuming that memcpy is passed valid pointers, it will never fail.",
e067f1eb3801da8535287db1656149b1,FALSE,Uninitialized Value,crypto/aes.c,326,The value read from msg_32[_] was never initialized,,msg_32 is initialized by memcpy,
fd6577ea09d46a35bd614b8fc3a100a4,FALSE,Uninitialized Value,crypto/aes.c,335,The value read from tin[_] was never initialized.,,tin is initialized by the call to ntohl,
7858aaf5b02d6bfb9a03b8e8a952efd9,FALSE,Uninitialized Value,crypto/aes.c,344,The value read from xor[_] was never initialized.,,xor is initialized by the for loop,
