hash,verdict,type,file,line,message,reasoning,features
0e19f73bb5aab477b6acfa8c0ba47b2e,FALSE,Uninitialized Value,toys/other/pmap.c,86,The value read from dirty was never initialized.,,
0e19f73bb5aab477b6acfa8c0ba47b2e,FALSE,Uninitialized Value,toys/other/pmap.c,86,The value read from swap was never initialized.,,
6da5dbcea387bae1579335cf13ca5c0b,FALSE,Uninitialized Value,toys/net/rfkill.c,82,The value read from rfevent.idx was never initialized.,,
a90426165c4045ea120818444e95b86d,FALSE,Uninitialized Value,toys/net/rfkill.c,94,The value read from rfevent.idx was never initialized.,,
b17a02fe88d235405fe8bea7fe8226ae,FALSE,Uninitialized Value,toys/posix/comm.c,62,The value read from file[_] was never initialized.,,
3d2c1c650f60f325f06d65b32fde3756,FALSE,Uninitialized Value,toys/posix/comm.c,68,The value read from file[_] was never initialized.,,
02afdad05af4e7fe184c6d6cea4885eb,FALSE,Uninitialized Value,toys/posix/comm.c,76,The value read from file[_] was never initialized.,,
b0cded144b10da15a1340f19c67bfbc9,FALSE,Uninitialized Value,toys/posix/comm.c,79,The value read from file[_] was never initialized.,,
d66595c5f280ea336e57b4c71f4d6d8e,FALSE,Uninitialized Value,lib/lsm.h,63,The value read from result was never initialized.,,
78c6b2ac714ecbfba7cc10d05f2bebe0,FALSE,Uninitialized Value,toys/posix/kill.c,128,The value read from signum was never initialized.,,
3156c88793c3f69227bc70d3eac80d03,FALSE,Uninitialized Value,toys/posix/kill.c,145,The value read from signum was never initialized.,,
b576d899f860afb1909c81e92c1a581d,FALSE,Uninitialized Value,toys/posix/ulimit.c,95,The value read from rr.rlim_max was never initialized.,,
b576d899f860afb1909c81e92c1a581d,FALSE,Uninitialized Value,toys/posix/ulimit.c,95,The value read from rr.rlim_cur was never initialized.,,
1c756da8a116983bc7f439fbff2125a4,FALSE,Null Dereference,scripts/mkflags.c,101,"pointer `blank` last assigned on line 99 could be null and is dereferenced at line 101, column 9.",,
677f8e919757f2ed495dd69d99e31b0f,FALSE,Uninitialized Value,toys/posix/cpio.c,287,The value read from pipe was never initialized.,,
46b9845b461b5713c6d80ed203bf620d,FALSE,Uninitialized Value,toys/posix/grep.c,184,The value read from matches.rm_so was never initialized.,,
f367e273fe1cafaaebca2842563fee1f,FALSE,Uninitialized Value,toys/posix/grep.c,215,The value read from matches.rm_so was never initialized.,,
d6cd48610e9532fd6321b3808ed29799,FALSE,Null Dereference,lib/password.c,127,"pointer `sfx` last assigned on line 119 could be null and is dereferenced at line 127, column 3.",,
80307352d0d3638b0d5c4dd054df436d,FALSE,Uninitialized Value,toys/lsb/md5sum.c,143,The value read from x[_] was never initialized.,,
7fc07928e935ec1f6766b9f2ea912164,FALSE,Uninitialized Value,toys/lsb/md5sum.c,147,The value read from x[_] was never initialized.,,
7196c190eedfa4f0bd75643731436ed2,FALSE,Uninitialized Value,toys/lsb/md5sum.c,157,The value read from x[_] was never initialized.,,
985a7b40da4e2c81766ccdcf2946025a,FALSE,Uninitialized Value,toys/other/bzcat.c,251,The value read from length[_] was never initialized.,,
74f83796ef6ff504322ebdebe12c1b6c,FALSE,Uninitialized Value,toys/other/bzcat.c,253,The value read from length[_] was never initialized.,,
a3ee1e0445080c1af39658b04bf61e55,FALSE,Uninitialized Value,toys/other/bzcat.c,254,The value read from length[_] was never initialized.,,
62d9280fdcf11a306508b95a59f92801,FALSE,Uninitialized Value,toys/lsb/md5sum.c,203,The value read from rot[_] was never initialized.,,
73842d7edad816346559f73ed592d9c5,FALSE,Uninitialized Value,lib/xwrap.c,213,The value read from cestnepasun[_] was never initialized.,,
a8dd9194bb15659c7436d1d407f6605d,FALSE,Uninitialized Value,lib/xwrap.c,223,The value read from cestnepasun[_] was never initialized.,,
9d16156f5e6e1540f541442801179843,FALSE,Uninitialized Value,lib/xwrap.c,225,The value read from cestnepasun[_] was never initialized.,,
69f2275f2a5ff75f0586a734a57c1367,FALSE,Uninitialized Value,lib/xwrap.c,227,The value read from cestnepasun[_] was never initialized.,,
0d8db4f3a6a0b7b1555a637b206b487c,FALSE,Uninitialized Value,lib/xwrap.c,228,The value read from cestnepasun[_] was never initialized.,,
ca6ec35fa166afc8d6b0d3b4f3be2e83,FALSE,Uninitialized Value,lib/xwrap.c,232,The value read from cestnepasun[_] was never initialized.,,
f20969a6f3f271dbed11418aa4e1d8d0,FALSE,Uninitialized Value,lib/xwrap.c,233,The value read from cestnepasun[_] was never initialized.,,
67d32164aa51d87cdafdf33beffc7266,FALSE,Uninitialized Value,lib/xwrap.c,234,The value read from cestnepasun[_] was never initialized.,,
61b84d73f45ba23ddaf7f87a1a59e957,FALSE,Uninitialized Value,lib/xwrap.c,263,The value read from cestnepasun[_] was never initialized.,,
37293b3e0b9b75331fc5eeecd2653788,FALSE,Uninitialized Value,lib/xwrap.c,264,The value read from cestnepasun[_] was never initialized.,,
687c3f1c2738a8f9c79bdd183c97bda9,FALSE,Uninitialized Value,toys/lsb/mount.c,314,The value read from mtl was never initialized.,,
84e5c617a037daa81a30d23fd808b483,FALSE,Resource Leak,lib/xwrap.c,373,"resource acquired by call to `xopen_stdio()` at line 373, column 5 is not released after line 373, column 5.",,
d322afe21de620dfd5dc6769ffea7a8f,FALSE,Resource Leak,lib/xwrap.c,383,"resource acquired by call to `xcreate_stdio()` at line 383, column 19 is not released after line 383, column 3.",,
4d5eae4c90e0ab5d5b06a97980d5c0bf,FALSE,Resource Leak,lib/xwrap.c,389,"resource acquired by call to `xopen_stdio()` at line 389, column 19 is not released after line 389, column 3.",,
afe0a214c88b91cd7182842809ae1b3a,FALSE,Null Dereference,lib/xwrap.c,458,"pointer `null` could be null and is dereferenced by call to `getcwd()` at line 458, column 15.",,
c0cde67e4c22bcf48bda4d2859e4446a,FALSE,Uninitialized Value,lib/xwrap.c,736,The value read from fd was never initialized.,,
5e54434a4a123d5672507cd0d4de50c6,FALSE,Uninitialized Value,lib/xwrap.c,737,The value read from fd was never initialized.,,
1988396761b0bcfc53bf83f1236f5cd2,FALSE,Uninitialized Value,lib/xwrap.c,790,The value read from d was never initialized.,,
4f314adf2c095ef58891295c6968f81e,FALSE,Uninitialized Value,lib/xwrap.c,794,The value read from l was never initialized.,,
5b46c9bdecca65f0cc375bb17a3a0a56,FALSE,Uninitialized Value,toys/posix/ps.c,1456,The value read from lines was never initialized.,,
5768482cb97e72b3e61aa588bbc2a43f,FALSE,Uninitialized Value,toys/posix/ps.c,1514,The value read from lines was never initialized.,,
a1e4268a5508fc70354068c5bed8a737,FALSE,Uninitialized Value,toys/posix/ps.c,1453,The value read from run[_] was never initialized.,,
b3ffa71ada7334bd1ffaa804b77065ca,FALSE,Uninitialized Value,toys/posix/ps.c,1464,The value read from run[_] was never initialized.,,
1ec69260f281d4cbe387de2e8deff464,FALSE,Uninitialized Value,toys/posix/ps.c,1468,The value read from run[_] was never initialized.,,
193d3d91a143382d2e987bd27d63720d,FALSE,Null Dereference,toys/posix/pwd.c,26,"pointer `null` could be null and is dereferenced by call to `getcwd()` at line 26, column 19.",,
5453ad42f8d130305383ad88e2af25a2,FALSE,Uninitialized Value,toys/other/hwclock.c,115,The value read from time was never initialized.,,
9bb76bb5dfabb1d34d6238d5b8157e88,FALSE,Uninitialized Value,toys/net/ftpget.c,150,The value read from port was never initialized.,,
