line,filename,tool,target,type,num_configs,variability
225,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
737,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
101,lib/xwrap.c,infer,toybox_0_7_5,DEAD_STORE,1,False
228,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
233,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
232,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
286,lib/args.c,infer,toybox_0_7_5,DEAD_STORE,1,False
53,main.c,infer,toybox_0_7_5,DEAD_STORE,1,False
707,lib/lib.c,infer,toybox_0_7_5,DEAD_STORE,1,False
383,lib/xwrap.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
373,lib/xwrap.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
160,lib/args.c,infer,toybox_0_7_5,DEAD_STORE,1,False
1268,lib/lib.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
145,lib/args.c,infer,toybox_0_7_5,DEAD_STORE,1,False
736,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
52,main.c,infer,toybox_0_7_5,DEAD_STORE,1,False
127,lib/password.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
223,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
33,lib/password.c,infer,toybox_0_7_5,DEAD_STORE,1,False
213,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
227,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
769,lib/lib.c,infer,toybox_0_7_5,DEAD_STORE,1,False
794,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
790,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
234,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1257,lib/lib.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
389,lib/xwrap.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
264,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
625,lib/lib.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
458,lib/xwrap.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
263,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
