iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,324,[]
1,885,43.51851851851852,183,['885']
2,438,65.4320987654321,112,"['885', '438']"
3,745,78.70370370370371,69,"['885', '438', '745']"
4,70,87.03703703703704,42,"['885', '438', '745', '70']"
5,908,91.0493827160494,29,"['885', '438', '745', '70', '908']"
6,211,94.44444444444444,18,"['885', '438', '745', '70', '908', '211']"
7,613,96.29629629629629,12,"['885', '438', '745', '70', '908', '211', '613']"
8,224,97.53086419753086,8,"['885', '438', '745', '70', '908', '211', '613', '224']"
9,253,98.4567901234568,5,"['885', '438', '745', '70', '908', '211', '613', '224', '253']"
10,653,99.07407407407408,3,"['885', '438', '745', '70', '908', '211', '613', '224', '253', '653']"
11,323,99.38271604938271,2,"['885', '438', '745', '70', '908', '211', '613', '224', '253', '653', '323']"
12,750,99.69135802469135,1,"['885', '438', '745', '70', '908', '211', '613', '224', '253', '653', '323', '750']"
13,750,100.0,0,"['885', '438', '745', '70', '908', '211', '613', '224', '253', '653', '323', '750', '750']"
