iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,3537,[]
1,432,33.33333333333333,2358,['432']
2,115,54.509471303364435,1609,"['432', '115']"
3,737,68.75883517104891,1105,"['432', '115', '737']"
4,833,77.60814249363868,792,"['432', '115', '737', '833']"
5,699,83.46055979643766,585,"['432', '115', '737', '833', '699']"
6,585,87.64489680520214,437,"['432', '115', '737', '833', '699', '585']"
7,475,90.69833191970596,329,"['432', '115', '737', '833', '699', '585', '475']"
8,429,92.9318631608708,250,"['432', '115', '737', '833', '699', '585', '475', '429']"
9,93,94.4585807181227,196,"['432', '115', '737', '833', '699', '585', '475', '429', '93']"
10,786,95.75911789652247,150,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786']"
11,895,96.83347469607013,112,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895']"
12,209,97.56856092733955,86,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209']"
13,762,98.07746677975686,68,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762']"
14,956,98.52982753746112,52,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956']"
15,76,98.8408255583828,41,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76']"
16,230,99.06700593723494,33,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230']"
17,604,99.23664122137404,27,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604']"
18,89,99.37800395815664,22,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89']"
19,375,99.49109414758269,18,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375']"
20,76,99.57591178965225,15,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76']"
21,51,99.63245688436528,13,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51']"
22,487,99.68900197907831,11,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487']"
23,437,99.74554707379136,9,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437']"
24,752,99.80209216850439,7,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752']"
25,164,99.8303647158609,6,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164']"
26,99,99.85863726321742,5,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99']"
27,460,99.88690981057393,4,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99', '460']"
28,836,99.91518235793045,3,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99', '460', '836']"
29,437,99.94345490528697,2,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99', '460', '836', '437']"
30,164,99.97172745264349,1,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99', '460', '836', '437', '164']"
31,329,100.0,0,"['432', '115', '737', '833', '699', '585', '475', '429', '93', '786', '895', '209', '762', '956', '76', '230', '604', '89', '375', '76', '51', '487', '437', '752', '164', '99', '460', '836', '437', '164', '329']"
