line,filename,tool,target,type,num_configs,variability
1253,tls1.c,clang,axtls_2_1_4,Dead store,1000,False
1829,tls1.c,clang,axtls_2_1_4,Logic error,1000,False
628,proc.c,clang,axtls_2_1_4,Security,527,True
297,asn1.c,clang,axtls_2_1_4,Memory error,519,True
164,axtlswrap.c,clang,axtls_2_1_4,Security,529,True
295,axhttpd.c,clang,axtls_2_1_4,Dead store,255,True
136,htpasswd.c,clang,axtls_2_1_4,Memory error,468,True
331,bigint.c,clang,axtls_2_1_4,Memory error,12,True
368,axtlswrap.c,clang,axtls_2_1_4,Logic error,529,True
445,bigint.c,clang,axtls_2_1_4,Logic error,476,True
662,proc.c,clang,axtls_2_1_4,Logic error,527,True
287,asn1.c,clang,axtls_2_1_4,Memory error,1000,False
82,sha256.c,clang,axtls_2_1_4,Logic error,1000,False
