line,filename,tool,target,type,num_configs,variability
76,sha1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
237,axtlswrap.c,IKOS,axtls_2_1_4,null-pointer-deref,529,True
154,bigint.c,IKOS,axtls_2_1_4,ignored-store,501,True
119,rsa.c,IKOS,axtls_2_1_4,buffer-overflow,270,True
1793,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
564,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,428,True
123,axtlswrap.c,IKOS,axtls_2_1_4,unreachable,55,True
1689,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
219,axtlswrap.c,IKOS,axtls_2_1_4,unreachable,55,True
1796,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
244,gen_cert.c,IKOS,axtls_2_1_4,buffer-overflow,165,True
454,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
721,bigint.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
1356,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
61,rsa.c,IKOS,axtls_2_1_4,ignored-store,501,True
158,proc.c,IKOS,axtls_2_1_4,null-pointer-deref,410,True
168,axhttpd.c,IKOS,axtls_2_1_4,signed-int-overflow,1000,False
77,axtlswrap.c,IKOS,axtls_2_1_4,buffer-overflow,529,True
987,tls1.c,IKOS,axtls_2_1_4,buffer-overflow,501,True
1375,bigint.c,IKOS,axtls_2_1_4,null-pointer-deref,248,True
258,aes.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
1499,bigint.c,IKOS,axtls_2_1_4,null-pointer-deref,270,True
263,axhttpd.c,IKOS,axtls_2_1_4,null-pointer-deref,1000,False
374,axhttpd.c,IKOS,axtls_2_1_4,unknown-memory-access,888,True
178,gen_cert.c,IKOS,axtls_2_1_4,buffer-overflow,165,True
1008,proc.c,IKOS,axtls_2_1_4,unknown-memory-access,888,True
1171,tls1.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
529,proc.c,IKOS,axtls_2_1_4,null-pointer-deref,888,True
199,sha256.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
264,proc.c,IKOS,axtls_2_1_4,null-pointer-deref,450,True
951,bigint.c,IKOS,axtls_2_1_4,null-pointer-deref,246,True
422,asn1.c,IKOS,axtls_2_1_4,signed-int-overflow,501,True
325,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
134,gen_cert.c,IKOS,axtls_2_1_4,buffer-overflow,165,True
148,axssl.c,IKOS,axtls_2_1_4,buffer-overflow,337,True
331,proc.c,IKOS,axtls_2_1_4,buffer-overflow,888,True
90,rc4.c,IKOS,axtls_2_1_4,null-pointer-deref,180,True
93,crypto_misc.c,IKOS,axtls_2_1_4,ignored-call-side-effect,501,True
347,axtlswrap.c,IKOS,axtls_2_1_4,unreachable,55,True
1096,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
1393,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
350,tls1_svr.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
275,tls1.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
93,proc.c,IKOS,axtls_2_1_4,unknown-memory-access,888,True
277,tls1.c,IKOS,axtls_2_1_4,ignored-store,501,True
161,tls1_svr.c,IKOS,axtls_2_1_4,null-pointer-deref,501,True
439,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
217,loader.c,IKOS,axtls_2_1_4,unreachable,169,True
299,axtlswrap.c,IKOS,axtls_2_1_4,unreachable,55,True
229,axtlswrap.c,IKOS,axtls_2_1_4,unreachable,55,True
431,axhttpd.c,IKOS,axtls_2_1_4,null-pointer-deref,1000,False
281,axhttpd.c,IKOS,axtls_2_1_4,unreachable,50,True
339,aes.c,IKOS,axtls_2_1_4,null-pointer-deref,111,True
1266,tls1.c,IKOS,axtls_2_1_4,unknown-memory-access,501,True
1413,bigint.c,IKOS,axtls_2_1_4,signed-int-underflow,501,True
351,tls1_svr.c,IKOS,axtls_2_1_4,ignored-store,501,True
219,tls1_svr.c,IKOS,axtls_2_1_4,signed-int-overflow,501,True
879,bigint.c,IKOS,axtls_2_1_4,unknown-memory-access,250,True
209,axhttpd.c,IKOS,axtls_2_1_4,ignored-call-side-effect,1000,False
