line,filename,tool,target,type,num_configs,variability
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
135,httpd/htpasswd.c,infer,axtls_2_1_4,MEMORY_LEAK,237,True
1373,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,355,True
479,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,492,True
476,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,492,True
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
633,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
173,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True
330,ssl/loader.c,infer,axtls_2_1_4,MEMORY_LEAK,379,True
489,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,736,True
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True
1319,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,383,True
295,httpd/axhttpd.c,infer,axtls_2_1_4,DEAD_STORE,64,True
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,738,False
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
670,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
614,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,736,True
671,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
69,ssl/openssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,385,True
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
669,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
117,httpd/htpasswd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,237,True
640,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
406,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,379,True
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False
