line,filename,tool,target,type,num_configs,variability,features
76,tdate_parse.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
303,gen_cert.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
256,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1858,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
373,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1659,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
52,rc4.c,CBMC,axtls_2_1_4,pointer dereference,501,True,CONFIG_SSL_USE_PKCS12
1075,proc.c,CBMC,axtls_2_1_4,pointer dereference,468,True,CONFIG_HTTP_HAS_AUTHORIZATION
1527,tls1.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
1861,tls1.c,CBMC,axtls_2_1_4,pointer dereference,513,True,CONFIG_SSL_CTX_MUTEXING
974,bigint.c,CBMC,axtls_2_1_4,overflow,510,True,CONFIG_BIGINT_SQUARE
1330,bigint.c,CBMC,axtls_2_1_4,pointer dereference,497,True,CONFIG_BIGINT_SLIDING_WINDOW
191,tls1_svr.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
473,p12.c,CBMC,axtls_2_1_4,pointer dereference,501,True,CONFIG_SSL_USE_PKCS12
238,gen_cert.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
87,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
399,p12.c,CBMC,axtls_2_1_4,overflow,501,True,CONFIG_SSL_USE_PKCS12
220,tls1_svr.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
151,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
188,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
361,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
172,sha512.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
260,aes.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
421,asn1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
289,loader.c,CBMC,axtls_2_1_4,pointer dereference,482,True,CONFIG_SSL_HAS_PEM
