line,filename,tool,target,type,num_configs,classification,variability,features,Column1,Column2,Column3,Column4,Column5,Column6
287,asn1.c,clang,axtls_2_1_4,Memory error,1000,TRUE,FALSE,generic,,asn1.c:287 (1000),1000/1000,"CONFIG_HTTP_TIMEOUT,CONFIG_SSL_SERVER_ONLY,CONFIG_SSL_EXPIRY_TIME,CONFIG_SSL_MAX_CERTS,HAVE_DOT_CONFIG,CONFIG_AXHTTPD,PREFIX,CONFIG_HTTP_PORT,CONFIG_HTTP_HTTPS_PORT,CONFIG_HTTP_WEBROOT,CONFIG_HTTP_SESSION_CACHE_SIZE,CONFIG_PLATFORM_LINUX,-CONFIG_WIN32_USE_CRYPTO_LIB,-CONFIG_JAVA_BINDINGS,-CONFIG_HTTP_ENABLE_LUA,-CONFIG_LUA_BINDINGS,-CONFIG_PLATFORM_CYGWIN,-CONFIG_BINDINGS,-CONFIG_PERL_LIB,-CONFIG_VISUAL_STUDIO_7_0_BASE,-CONFIG_LUA_CORE,-CONFIG_VISUAL_STUDIO_7_0,-CONFIG_SSL_CERT_VERIFICATION,-CONFIG_SSL_ENABLE_CLIENT,-CONFIG_PERFORMANCE_TESTING,-CONFIG_VISUAL_STUDIO_10_0,-CONFIG_HTTP_BUILD_LUA,-CONFIG_PERL_SAMPLES,-CONFIG_SSL_SKELETON_MODE,-CONFIG_HTTP_LUA_PREFIX,-CONFIG_CSHARP_BINDINGS,-CONFIG_SSL_FULL_MODE,-CONFIG_VBNET_BINDINGS,-CONFIG_VISUAL_STUDIO_8_0,-CONFIG_VISUAL_STUDIO_8_0_BASE,-CONFIG_X509_MAX_CA_CERTS,-CONFIG_LUA_SAMPLES,-CONFIG_VISUAL_STUDIO_10_0_BASE,-CONFIG_JAVA_SAMPLES,-CONFIG_PLATFORM_WIN32,-CONFIG_PERL_BINDINGS,-CONFIG_CSHARP_SAMPLES,-CONFIG_VBNET_SAMPLES,-CONFIG_PERL_CORE,-CONFIG_DOT_NET_FRAMEWORK_BASE,-CONFIG_SSL_TEST,-CONFIG_JAVA_HOME,",,generic
297,asn1.c,clang,axtls_2_1_4,Memory error,519,TRUE,TRUE,CONFIG_BIGINT_CRT,,asn1.c:297 (519),519/1000,"CONFIG_BIGINT_CRT,","-CONFIG_BIGINT_CRT,",CONFIG_BIGINT_CRT
295,axhttpd.c,clang,axtls_2_1_4,Dead store,255,,TRUE,CONFIG_HTTP_USER and CONFIG_HTTP_ENABLE_DIFFERENT_USER and -CONFIG_HTTP_VERBOSE,,axhttpd.c:295 (255),255/1000,"CONFIG_HTTP_USER,CONFIG_HTTP_ENABLE_DIFFERENT_USER,-CONFIG_HTTP_VERBOSE,",,CONFIG_HTTP_USER and CONFIG_HTTP_ENABLE_DIFFERENT_USER and -CONFIG_HTTP_VERBOSE
164,axtlswrap.c,clang,axtls_2_1_4,Security,529,TRUE,TRUE,CONFIG_AXTLSWRAP,,axtlswrap.c:164 (529),529/1000,"CONFIG_AXTLSWRAP,","-CONFIG_AXTLSWRAP,",CONFIG_AXTLSWRAP
368,axtlswrap.c,clang,axtls_2_1_4,Logic error,529,TRUE,TRUE,CONFIG_AXTLSWRAP,,axtlswrap.c:368 (529),529/1000,"CONFIG_AXTLSWRAP,","-CONFIG_AXTLSWRAP,",CONFIG_AXTLSWRAP
331,bigint.c,clang,axtls_2_1_4,Memory error,12,,TRUE,CONFIG_BIGINT_BARRETT and CONFIG_BIGINT_SQUARE and CONFIG_BIGINT_SLIDING_WINDOW and CONFIG_BIGINT_CRT and -CONFIG_BIGINT_CHECK_ON and -CONFIG_BIGINT_KARATSUBA and -SQU_KARATSUBA_THRESH and -CONFIG_BIGINT_MONTGOMERY and -MUL_KARATSUBA_THRESH and -CONFIG_BIGINT_CLASSICAL,,bigint.c:331 (12),12/1000,"CONFIG_BIGINT_BARRETT,CONFIG_BIGINT_SQUARE,CONFIG_BIGINT_SLIDING_WINDOW,CONFIG_BIGINT_CRT,-CONFIG_BIGINT_CHECK_ON,-CONFIG_BIGINT_KARATSUBA,-SQU_KARATSUBA_THRESH,-CONFIG_BIGINT_MONTGOMERY,-MUL_KARATSUBA_THRESH,-CONFIG_BIGINT_CLASSICAL,","-CONFIG_BIGINT_CRT,",CONFIG_BIGINT_BARRETT and CONFIG_BIGINT_SQUARE and CONFIG_BIGINT_SLIDING_WINDOW and CONFIG_BIGINT_CRT and -CONFIG_BIGINT_CHECK_ON and -CONFIG_BIGINT_KARATSUBA and -SQU_KARATSUBA_THRESH and -CONFIG_BIGINT_MONTGOMERY and -MUL_KARATSUBA_THRESH and -CONFIG_BIGINT_CLASSICAL
445,bigint.c,clang,axtls_2_1_4,Logic error,476,,TRUE,check,,bigint.c:445 (476),476/1000,"CONFIG_HTTP_CGI_EXTENSIONS,CONFIG_HTTP_HAS_CGI,CONFIG_HTTP_CGI_LAUNCHER,","-CONFIG_HTTP_CGI_LAUNCHER,-CONFIG_HTTP_HAS_CGI,-CONFIG_HTTP_CGI_EXTENSIONS,",check
136,htpasswd.c,clang,axtls_2_1_4,Memory error,468,TRUE,TRUE,CONFIG_HTTP_HAS_AUTHORIZATION,,htpasswd.c:136 (468),468/1000,"CONFIG_HTTP_HAS_AUTHORIZATION,","-CONFIG_HTTP_HAS_AUTHORIZATION,",CONFIG_HTTP_HAS_AUTHORIZATION
628,proc.c,clang,axtls_2_1_4,Security,527,TRUE,TRUE,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER,,proc.c:628 (527),527/1000,"CONFIG_HTTP_CGI_EXTENSIONS,CONFIG_HTTP_HAS_CGI,CONFIG_HTTP_CGI_LAUNCHER,","-CONFIG_HTTP_CGI_LAUNCHER,-CONFIG_HTTP_HAS_CGI,-CONFIG_HTTP_CGI_EXTENSIONS,",CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
662,proc.c,clang,axtls_2_1_4,Logic error,527,TRUE,TRUE,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER,,proc.c:662 (527),527/1000,"CONFIG_HTTP_CGI_EXTENSIONS,CONFIG_HTTP_HAS_CGI,CONFIG_HTTP_CGI_LAUNCHER,","-CONFIG_HTTP_CGI_LAUNCHER,-CONFIG_HTTP_HAS_CGI,-CONFIG_HTTP_CGI_EXTENSIONS,",CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
