iteration,removed,% remaining,num remaining,configs
1,914,42.46491763270287,943,['914']
2,611,65.03965832824893,573,"['914', '611']"
3,25,76.69310555216595,382,"['914', '611', '25']"
4,699,82.79438682123245,282,"['914', '611', '25', '699']"
5,68,88.04148871262966,196,"['914', '611', '25', '699', '68']"
6,423,91.39719341061623,141,"['914', '611', '25', '699', '68', '423']"
7,816,93.95973154362416,99,"['914', '611', '25', '699', '68', '423', '816']"
8,237,95.66809029896278,71,"['914', '611', '25', '699', '68', '423', '816', '237']"
9,816,96.94935936546675,50,"['914', '611', '25', '699', '68', '423', '816', '237', '816']"
10,603,97.80353874313606,36,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603']"
11,816,98.35265405735204,27,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816']"
12,872,98.84075655887736,19,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872']"
13,816,99.14582062233069,14,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816']"
14,719,99.45088468578402,9,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719']"
15,816,99.57291031116534,7,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719', '816']"
16,274,99.75594874923735,4,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719', '816', '274']"
17,102,99.87797437461867,2,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719', '816', '274', '102']"
18,295,99.93898718730934,1,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719', '816', '274', '102', '295']"
19,463,100.0,0,"['914', '611', '25', '699', '68', '423', '816', '237', '816', '603', '816', '872', '816', '719', '816', '274', '102', '295', '463']"
