line,filename,tool,target,type,num_configs,variability,classification
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1000,FALSE,FALSE
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
1319,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,497,TRUE,TRUE
1373,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,503,TRUE,TRUE
295,httpd/axhttpd.c,infer,axtls_2_1_4,DEAD_STORE,98,TRUE,
476,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,527,TRUE,TRUE
479,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,527,TRUE,TRUE
489,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
614,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
117,httpd/htpasswd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,307,TRUE,TRUE
135,httpd/htpasswd.c,infer,axtls_2_1_4,MEMORY_LEAK,307,TRUE,TRUE
633,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
640,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
669,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
670,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
671,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,527,TRUE,FALSE
151,samples/c/axssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,337,TRUE,
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
330,ssl/loader.c,infer,axtls_2_1_4,MEMORY_LEAK,482,TRUE,FALSE
406,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,482,TRUE,TRUE
69,ssl/openssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,485,TRUE,TRUE
173,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,501,TRUE,TRUE
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,501,TRUE,TRUE
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,501,TRUE,TRUE
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1000,FALSE,TRUE
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,1000,FALSE,
