line,filename,tool,target,type,num_configs,variability,automatic_features
250,conf.c,clang,busybox_1_28_0,Logic error,1000,False,
488,init.c,clang,busybox_1_28_0,Security,994,True,['CONFIG_INIT_TERMINAL_TYPE']
4068,hush.c,clang,busybox_1_28_0,API,1000,False,
48,tty.c,clang,busybox_1_28_0,Dead store,52,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_FEATURE_UTMP', 'CONFIG_HTTPD', 'CONFIG_FDISK', 'CONFIG_MOUNT', 'CONFIG_FEATURE_EDITING', '-CONFIG_DESKTOP', 'CONFIG_LESS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_FEATURE_EDITING_HISTORY', '-CONFIG_FEATURE_PS_TIME', '-CONFIG_FEATURE_UNZIP_BZIP2', '-CONFIG_FEATURE_UNZIP_LZMA', 'CONFIG_TTY', '-CONFIG_INCLUDE_SUSv2', 'CONFIG_HDPARM', 'CONFIG_XARGS', 'CONFIG_TAR', 'CONFIG_FEATURE_LESS_MAXLINES', 'CONFIG_INIT_TERMINAL_TYPE', 'CONFIG_LAST_SYSTEM_ID', '-CONFIG_FEATURE_PS_ADDITIONAL_COLUMNS', '-CONFIG_FEATURE_UNZIP_XZ', 'CONFIG_INETD', '-CONFIG_FEATURE_PS_UNUSUAL_SYSTEMS']"
479,tcpudp.c,clang,busybox_1_28_0,Security,755,True,"['CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_FEATURE_EDITING', 'CONFIG_FEATURE_EDITING_HISTORY']"
790,lzo1x_9x.c,clang,busybox_1_28_0,Dead store,481,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_HTTPD', 'CONFIG_LZOP_COMPR_HIGH']"
76,more.c,clang,busybox_1_28_0,Logic error,514,True,"['CONFIG_MORE', 'CONFIG_MOUNT']"
5315,hush.c,clang,busybox_1_28_0,Dead store,1000,False,
682,unzip.c,clang,busybox_1_28_0,Dead store,157,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_CHAT', 'CONFIG_UNZIP', 'CONFIG_HTTPD', 'CONFIG_FDISK', 'CONFIG_MOUNT', 'CONFIG_UDHCP_DEBUG', '-CONFIG_FEATURE_UNZIP_BZIP2', '-CONFIG_FEATURE_UNZIP_LZMA', 'CONFIG_TAR', '-CONFIG_FEATURE_UNZIP_CDF', '-CONFIG_FEATURE_UNZIP_XZ']"
585,ipaddress.c,clang,busybox_1_28_0,Logic error,902,True,
2465,awk.c,clang,busybox_1_28_0,Logic error,791,True,['CONFIG_AWK']
5102,hush.c,clang,busybox_1_28_0,Dead store,1000,False,
412,nmeter.c,clang,busybox_1_28_0,Dead store,523,True,"['CONFIG_UDHCP_DEBUG', 'CONFIG_NMETER']"
201,nandwrite.c,clang,busybox_1_28_0,Dead store,263,True,"['CONFIG_FEATURE_IPV6', '-CONFIG_NANDWRITE', 'CONFIG_HTTPD', 'CONFIG_MOUNT', 'CONFIG_LESS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_NANDDUMP', 'CONFIG_FEATURE_LESS_MAXLINES', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS']"
218,conf.c,clang,busybox_1_28_0,Logic error,1000,False,
510,inetd.c,clang,busybox_1_28_0,Logic error,476,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_HTTPD', 'CONFIG_FEATURE_INETD_RPC', 'CONFIG_INETD']"
932,appletlib.c,clang,busybox_1_28_0,API,1000,False,
651,find.c,clang,busybox_1_28_0,Memory error,303,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_MOUNT', 'CONFIG_LESS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_FEATURE_FIND_EXEC', 'CONFIG_TAR', 'CONFIG_FEATURE_LESS_MAXLINES', 'CONFIG_FEATURE_FIND_EXEC_PLUS']"
70,beep.c,clang,busybox_1_28_0,Logic error,506,True,"['CONFIG_FEATURE_BEEP_FREQ', 'CONFIG_HTTPD', 'CONFIG_BEEP', 'CONFIG_UDHCP_DEBUG', 'CONFIG_FEATURE_BEEP_LENGTH_MS']"
266,telnetd.c,clang,busybox_1_28_0,Dead store,745,True,"['CONFIG_UDHCP_DEBUG', 'CONFIG_TELNETD']"
825,test.c,clang,busybox_1_28_0,Dead store,36,True,"['CONFIG_FEATURE_IPV6', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_FEATURE_FDISK_WRITABLE', 'CONFIG_UNICODE_SUPPORT', 'CONFIG_FEATURE_UTMP', 'CONFIG_LAST_SUPPORTED_WCHAR', 'CONFIG_CHAT', 'CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS', 'CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE', '-CONFIG_TEST2', 'CONFIG_HTTPD', 'CONFIG_TEST', 'CONFIG_FDISK', 'CONFIG_MOUNT', '-CONFIG_TEST1', 'CONFIG_WGET', 'CONFIG_FEATURE_EDITING', 'CONFIG_SUBST_WCHAR', '-CONFIG_ASH_TEST', 'CONFIG_LS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_FEATURE_EDITING_HISTORY', '-CONFIG_HUSH_TEST', 'CONFIG_IFUPDOWN_IFSTATE_PATH', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS', 'CONFIG_TOP', 'CONFIG_SYSLOGD']"
