iteration,removed,% remaining,num remaining,configs
1,885,40.123456790123456,194,['885']
2,438,63.580246913580254,118,"['885', '438']"
3,582,77.46913580246914,73,"['885', '438', '582']"
4,372,86.41975308641975,44,"['885', '438', '582', '372']"
5,97,91.66666666666666,27,"['885', '438', '582', '372', '97']"
6,851,94.44444444444444,18,"['885', '438', '582', '372', '97', '851']"
7,419,96.60493827160494,11,"['885', '438', '582', '372', '97', '851', '419']"
8,739,97.8395061728395,7,"['885', '438', '582', '372', '97', '851', '419', '739']"
9,605,98.76543209876543,4,"['885', '438', '582', '372', '97', '851', '419', '739', '605']"
10,974,99.38271604938271,2,"['885', '438', '582', '372', '97', '851', '419', '739', '605', '974']"
11,348,99.69135802469135,1,"['885', '438', '582', '372', '97', '851', '419', '739', '605', '974', '348']"
12,290,100.0,0,"['885', '438', '582', '372', '97', '851', '419', '739', '605', '974', '348', '290']"
