line,filename,tool,target,type,num_configs,variability
333,grep.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,926,True
165,decompress_bunzip2.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,964,True
1592,dhcpc.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
143,rtcwake.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,536,True
1302,ntpd.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,783,True
65,dos2unix.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,745,True
470,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,459,True
420,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,216,True
590,nc_bloaty.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,485,True
142,rtcwake.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,536,True
415,ping.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
809,dhcpd.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,816,True
122,nc.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,482,True
367,chpst.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,216,True
370,zcip.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,490,True
296,hexedit.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,469,True
2506,awk.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,791,True
493,fbsplash.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,509,True
227,split-include.c,cppcheck,busybox_1_28_0, (error) Memory leak,1000,False
256,ps.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
56,nc.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
146,logread.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,309,True
393,nc.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
1300,ntpd.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,783,True
454,fbset.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,809,True
1412,dhcpc.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,1,True
34,domain_codec.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,837,True
601,pw_encrypt_des.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,693,True
