iteration,removed,% remaining,num remaining,configs
1,602,38.4,77,['602']
2,368,60.8,49,"['602', '368']"
3,1000,76.0,30,"['602', '368', '1000']"
4,172,84.0,20,"['602', '368', '1000', '172']"
5,1000,89.60000000000001,13,"['602', '368', '1000', '172', '1000']"
6,569,93.60000000000001,8,"['602', '368', '1000', '172', '1000', '569']"
7,368,96.0,5,"['602', '368', '1000', '172', '1000', '569', '368']"
8,32,97.6,3,"['602', '368', '1000', '172', '1000', '569', '368', '32']"
9,1000,99.2,1,"['602', '368', '1000', '172', '1000', '569', '368', '32', '1000']"
10,368,100.0,0,"['602', '368', '1000', '172', '1000', '569', '368', '32', '1000', '368']"
