line,filename,tool,target,type,num_configs,variability
13356,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
12500,shell/ash.c,CBMC,busybox_1_28_0,overflow,1,False
767,libbb/hash_md5_sha.c,CBMC,busybox_1_28_0,pointer dereference,1,False
35,libbb/bb_getgroups.c,CBMC,busybox_1_28_0,pointer dereference,1,False
8915,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
9235,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
326,libbb/dump.c,CBMC,busybox_1_28_0,pointer dereference,1,False
97,libbb/procps.c,CBMC,busybox_1_28_0,overflow,1,False
13183,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
111,libbb/human_readable.c,CBMC,busybox_1_28_0,pointer dereference,1,False
22,libbb/endofname.c,CBMC,busybox_1_28_0,pointer dereference,1,False
303,libbb/xconnect.c,CBMC,busybox_1_28_0,pointer dereference,1,False
55,libbb/printable.c,CBMC,busybox_1_28_0,pointer dereference,1,False
12,archival/libarchive/unsafe_symlink_target.c,CBMC,busybox_1_28_0,pointer dereference,1,False
69,libbb/run_shell.c,CBMC,busybox_1_28_0,pointer dereference,1,False
2296,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
11268,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
546,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
172,libbb/time.c,CBMC,busybox_1_28_0,pointer dereference,1,False
2682,shell/ash.c,CBMC,busybox_1_28_0,assertion,1,False
2474,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
9942,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
10828,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
59,libbb/process_escape_sequence.c,CBMC,busybox_1_28_0,overflow,1,False
133,libbb/human_readable.c,CBMC,busybox_1_28_0,pointer dereference,1,False
346,libbb/hash_md5_sha.c,CBMC,busybox_1_28_0,pointer dereference,1,False
153,libbb/bb_strtonum.c,CBMC,busybox_1_28_0,pointer dereference,1,False
13792,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1921,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
12077,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
11190,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
11287,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
19,libbb/sysconf.c,CBMC,busybox_1_28_0,overflow,1,False
8093,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
139,archival/libarchive/data_extract_all.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1740,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
500,libbb/getopt32.c,CBMC,busybox_1_28_0,pointer dereference,1,False
10723,shell/ash.c,CBMC,busybox_1_28_0,pointer dereference,1,False
127,libbb/human_readable.c,CBMC,busybox_1_28_0,pointer dereference,1,False
67,libbb/bb_strtonum.c,CBMC,busybox_1_28_0,pointer dereference,1,False
37,libbb/change_identity.c,CBMC,busybox_1_28_0,pointer dereference,1,False
17,libbb/fflush_stdout_and_exit.c,CBMC,busybox_1_28_0,pointer dereference,1,False
446,libbb/hash_md5_sha.c,CBMC,busybox_1_28_0,pointer dereference,1,False
