line,filename,tool,target,type,num_configs,variability
118,ifconfig.c,clang,toybox_0_7_5,Dead store,1,False
193,date.c,clang,toybox_0_7_5,Dead store,1,False
29,uudecode.c,clang,toybox_0_7_5,Logic error,1,False
322,file.c,clang,toybox_0_7_5,Logic error,1,False
273,md5sum.c,clang,toybox_0_7_5,Logic error,1,False
116,od.c,clang,toybox_0_7_5,Logic error,1,False
1506,ps.c,clang,toybox_0_7_5,Dead store,1,False
60,oneit.c,clang,toybox_0_7_5,Security,1,False
490,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
51,vmstat.c,clang,toybox_0_7_5,Logic error,1,False
210,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
178,netcat.c,clang,toybox_0_7_5,Security,1,False
366,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
167,od.c,clang,toybox_0_7_5,Logic error,1,False
64,losetup.c,clang,toybox_0_7_5,Logic error,1,False
382,patch.c,clang,toybox_0_7_5,Logic error,1,False
397,patch.c,clang,toybox_0_7_5,API,1,False
214,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
201,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
89,hwclock.c,clang,toybox_0_7_5,Logic error,1,False
928,sed.c,clang,toybox_0_7_5,Dead store,1,False
49,switch_root.c,clang,toybox_0_7_5,Logic error,1,False
130,find.c,clang,toybox_0_7_5,Dead store,1,False
779,sed.c,clang,toybox_0_7_5,Dead store,1,False
20,realpath.c,clang,toybox_0_7_5,Dead store,1,False
115,hwclock.c,clang,toybox_0_7_5,Logic error,1,False
375,patch.c,clang,toybox_0_7_5,API,1,False
349,ls.c,clang,toybox_0_7_5,API,1,False
309,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
287,cpio.c,clang,toybox_0_7_5,Logic error,1,False
105,netcat.c,clang,toybox_0_7_5,Dead store,1,False
121,hwclock.c,clang,toybox_0_7_5,Logic error,1,False
218,lib_xwrap.c,clang,toybox_0_7_5,Security,1,False
66,timeout.c,clang,toybox_0_7_5,Logic error,1,False
137,date.c,clang,toybox_0_7_5,Logic error,1,False
186,netcat.c,clang,toybox_0_7_5,Logic error,1,False
196,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
136,grep.c,clang,toybox_0_7_5,Dead store,1,False
82,oneit.c,clang,toybox_0_7_5,Security,1,False
184,xargs.c,clang,toybox_0_7_5,Logic error,1,False
149,cp.c,clang,toybox_0_7_5,API,1,False
24,chvt.c,clang,toybox_0_7_5,Logic error,1,False
49,taskset.c,clang,toybox_0_7_5,Dead store,1,False
113,find.c,clang,toybox_0_7_5,Dead store,1,False
176,lib_args.c,clang,toybox_0_7_5,Logic error,1,False
40,uuencode.c,clang,toybox_0_7_5,Dead store,1,False
353,ls.c,clang,toybox_0_7_5,Logic error,1,False
22,setsid.c,clang,toybox_0_7_5,Logic error,1,False
150,ftpget.c,clang,toybox_0_7_5,Logic error,1,False
158,grep.c,clang,toybox_0_7_5,Logic error,1,False
31,time.c,clang,toybox_0_7_5,Logic error,1,False
33,lib_password.c,clang,toybox_0_7_5,Dead store,1,False
