line,filename,tool,target,type,num_configs,variability,automatic_features
78,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,1,True,
165,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,2,True,
1367,bigint.c,CBMC,axtls_2_1_4,overflow,1,True,
844,proc.c,CBMC,axtls_2_1_4,pointer,2,True,
165,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
1375,bigint.c,CBMC,axtls_2_1_4,pointer dereference,2,True,
270,sha256.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
1424,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
174,tls1_svr.c,CBMC,axtls_2_1_4,overflow,3,False,
350,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
204,aes.c,CBMC,axtls_2_1_4,overflow,3,False,
869,proc.c,CBMC,axtls_2_1_4,overflow,2,True,
181,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
1824,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
182,sha512.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
24,<builtin-library-close>,CBMC,axtls_2_1_4,overflow,3,False,
544,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
234,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,1,True,
861,tls1.c,CBMC,axtls_2_1_4,overflow,3,False,
467,bigint.c,CBMC,axtls_2_1_4,overflow,3,False,
150,bigint.c,CBMC,axtls_2_1_4,assertion,3,False,
1785,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
148,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
131,asn1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
222,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
301,bigint.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
199,p12.c,CBMC,axtls_2_1_4,array bounds,2,True,
46,sha384.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
740,proc.c,CBMC,axtls_2_1_4,overflow,2,True,
445,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
55,hmac.c,CBMC,axtls_2_1_4,overflow,3,False,
95,sha1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
213,sha256.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
191,md5.c,CBMC,axtls_2_1_4,overflow,3,False,
73,loader.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
327,aes.c,CBMC,axtls_2_1_4,array bounds,1,True,
966,proc.c,CBMC,axtls_2_1_4,overflow,3,False,
107,tls1.c,CBMC,axtls_2_1_4,overflow,3,False,
159,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
473,p12.c,CBMC,axtls_2_1_4,pointer dereference,2,True,
1090,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
889,proc.c,CBMC,axtls_2_1_4,pointer dereference,2,True,
790,proc.c,CBMC,axtls_2_1_4,overflow,1,True,
200,sha512.c,CBMC,axtls_2_1_4,overflow,3,False,
162,asn1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
198,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
254,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
447,bigint.c,CBMC,axtls_2_1_4,overflow,3,False,
1241,proc.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
696,proc.c,CBMC,axtls_2_1_4,overflow,2,True,
619,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
152,sha256.c,CBMC,axtls_2_1_4,overflow,3,False,
174,sha512.c,CBMC,axtls_2_1_4,overflow,3,False,
40,<builtin-library-write>,CBMC,axtls_2_1_4,overflow,3,False,
390,tls1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
1318,bigint.c,CBMC,axtls_2_1_4,overflow,1,True,
438,asn1.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
356,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,1,True,
489,bigint.c,CBMC,axtls_2_1_4,overflow,3,False,
811,tls1.c,CBMC,axtls_2_1_4,overflow,3,False,
285,aes.c,CBMC,axtls_2_1_4,overflow,3,False,
374,asn1.c,CBMC,axtls_2_1_4,overflow,3,False,
76,sha1.c,CBMC,axtls_2_1_4,overflow,3,False,
209,aes.c,CBMC,axtls_2_1_4,pointer dereference,3,False,
194,md5.c,CBMC,axtls_2_1_4,overflow,3,False,
