line,filename,tool,target,type,num_configs,variability,automatic_features
287,asn1.c,clang,axtls_2_1_4,Memory error,3,False,
628,proc.c,clang,axtls_2_1_4,Security,2,True,
1253,tls1.c,clang,axtls_2_1_4,Dead store,3,False,
1829,tls1.c,clang,axtls_2_1_4,Logic error,3,False,
82,sha256.c,clang,axtls_2_1_4,Logic error,3,False,
164,axtlswrap.c,clang,axtls_2_1_4,Security,1,True,
136,htpasswd.c,clang,axtls_2_1_4,Memory error,2,True,
662,proc.c,clang,axtls_2_1_4,Logic error,2,True,
297,asn1.c,clang,axtls_2_1_4,Memory error,1,True,
368,axtlswrap.c,clang,axtls_2_1_4,Logic error,1,True,
445,bigint.c,clang,axtls_2_1_4,Logic error,2,True,
