line,filename,tool,target,type,num_configs,variability,automatic_features
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
1319,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,True,
670,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
173,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
151,samples/c/axssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
135,httpd/htpasswd.c,infer,axtls_2_1_4,MEMORY_LEAK,1,True,
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
669,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
633,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
117,httpd/htpasswd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,True,
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
476,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
1373,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
614,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
640,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,3,False,
479,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,2,True,
671,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,3,False,
489,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,3,False,
