line,filename,tool,target,type,num_configs,variability,automatic_features
142,rtcwake.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,33,True,"['CONFIG_DEFAULT_DEPMOD_FILE', 'CONFIG_DEFAULT_MODULES_DIR', 'CONFIG_FEATURE_CROND_DIR', 'CONFIG_RTCWAKE', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS']"
493,fbsplash.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,26,True,"['CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_IFCONFIG', 'CONFIG_FEATURE_FDISK_WRITABLE', 'CONFIG_FEATURE_UTMP', 'CONFIG_FBSPLASH', 'CONFIG_CHAT', 'CONFIG_FDISK', 'CONFIG_WGET', 'CONFIG_FEATURE_EDITING', 'CONFIG_FEATURE_EDITING_HISTORY', 'CONFIG_HDPARM', 'CONFIG_LAST_SYSTEM_ID', 'CONFIG_FEATURE_TOP_CPU_USAGE_PERCENTAGE', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS', 'CONFIG_TOP', '-CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED']"
252,getopt.c,cppcheck,busybox_1_28_0, (error) Possible null pointer dereference,20,True,"['CONFIG_FEATURE_IPV6', '-CONFIG_FEATURE_PREFER_APPLETS', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_IFCONFIG', 'CONFIG_FTPD', 'CONFIG_FEATURE_FDISK_WRITABLE', 'CONFIG_FEATURE_UTMP', '-CONFIG_IPADDR', 'CONFIG_DEFAULT_DEPMOD_FILE', 'CONFIG_FDISK', 'CONFIG_DEFAULT_MODULES_DIR', 'CONFIG_WGET', 'CONFIG_FEATURE_EDITING', 'CONFIG_GETOPT', 'CONFIG_FEATURE_EDITING_HISTORY', 'CONFIG_FEATURE_GETOPT_LONG', 'CONFIG_HDPARM', 'CONFIG_LOGIN', '-CONFIG_MODPROBE_SMALL', 'CONFIG_INETD']"
740,less.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,65,False,"['CONFIG_PASSWORD_MINLEN', 'CONFIG_FEATURE_VI_MAX_LEN', '-CONFIG_STATIC', 'CONFIG_HAVE_DOT_CONFIG', 'CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS', '-CONFIG_NOMMU', 'CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE', 'CONFIG_FEATURE_COPYBUF_KB', 'CONFIG_HTTPD', 'CONFIG_MD5_SMALL', 'CONFIG_MOUNT', 'CONFIG_PREFIX', '-CONFIG_FEATURE_INSMOD_LOADINKMEM', 'CONFIG_VOLUMEID', 'CONFIG_BUSYBOX_EXEC_PATH', 'CONFIG_VI', 'CONFIG_LESS', 'CONFIG_LS', 'CONFIG_LONG_OPTS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_PLATFORM_LINUX', '-CONFIG_WERROR', 'CONFIG_SELINUX', '-CONFIG_FEATURE_INSMOD_LOAD_MAP', 'CONFIG_XARGS', '-CONFIG_FEATURE_INSMOD_LOAD_MAP_FULL', 'CONFIG_FIND', 'CONFIG_TAR', 'CONFIG_FEATURE_SYSLOG', '-CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS', 'CONFIG_FEATURE_LESS_MAXLINES', 'CONFIG_INIT_TERMINAL_TYPE', 'CONFIG_IFUPDOWN_IFSTATE_PATH', '-CONFIG_FEATURE_2_4_MODULES', 'CONFIG_SHA3_SMALL', '-CONFIG_FEATURE_INSMOD_VERSION_CHECKING', 'CONFIG_SYSLOGD', '-CONFIG_FEATURE_LIBBUSYBOX_STATIC']"
628,test.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,64,True,['CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS']
190,open_transformer.c,cppcheck,busybox_1_28_0, (error) Null pointer dereference,33,True,"['CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_FEATURE_EDITING', '-CONFIG_FEATURE_SEAMLESS_BZ2', 'CONFIG_FEATURE_EDITING_HISTORY']"
787,awk.c,cppcheck,busybox_1_28_0, (error) Null pointer dereference,6,True,"['-CONFIG_SH_IS_NONE', '-CONFIG_FEATURE_KILL_REMOVED', 'CONFIG_FEATURE_IPV6', '-CONFIG_MPSTAT', 'CONFIG_FEATURE_HTTPD_PROXY', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_IFCONFIG', 'CONFIG_HEXDUMP', '-CONFIG_FEATURE_TELNET_TTYPE', 'CONFIG_UDHCPC_DEFAULT_SCRIPT', '-CONFIG_FEATURE_WGET_LONG_OPTIONS', 'CONFIG_FIRST_SYSTEM_ID', 'CONFIG_FEATURE_EDITING_SAVEHISTORY', 'CONFIG_FEATURE_FDISK_WRITABLE', '-CONFIG_FEATURE_BEEP_FREQ', 'CONFIG_UNICODE_SUPPORT', 'CONFIG_FEATURE_MIME_CHARSET', 'CONFIG_FEATURE_WTMP', '-CONFIG_FEATURE_TAR_FROM', 'CONFIG_FEATURE_UTMP', 'CONFIG_RMMOD', 'CONFIG_LAST_SUPPORTED_WCHAR', '-CONFIG_FEATURE_MDEV_RENAME_REGEXP', '-CONFIG_FEATURE_CALL_TELINIT', '-CONFIG_UNAME', '-CONFIG_FEATURE_SUID_CONFIG_QUIET', 'CONFIG_CHAT', 'CONFIG_MKTEMP', 'CONFIG_LFS', '-CONFIG_FEATURE_CHECK_TAINTED_MODULE', '-CONFIG_IPADDR', 'CONFIG_IPRULE', '-CONFIG_FEATURE_BUFFERS_GO_IN_BSS', 'CONFIG_FEATURE_HTTPD_CGI', '-CONFIG_USLEEP', 'CONFIG_IFUP', '-CONFIG_SETFATTR', 'CONFIG_HUSH_LOCAL', 'CONFIG_FEATURE_VOLUMEID_UBIFS', 'CONFIG_UDHCPC', '-CONFIG_BEEP', '-CONFIG_FEATURE_FIND_MTIME', '-CONFIG_INSTALL_SH_APPLET_SCRIPT_WRAPPER', '-CONFIG_FEATURE_CPIO_O', 'CONFIG_FDISK', 'CONFIG_MICROCOM', 'CONFIG_HUSH_FUNCTIONS', 'CONFIG_FEATURE_TFTP_BLOCKSIZE', '-CONFIG_FEATURE_MOUNT_NFS', 'CONFIG_WGET', 'CONFIG_FEATURE_IP_RARE_PROTOCOLS', '-CONFIG_DIRNAME', '-CONFIG_CLEAR', '-CONFIG_FEATURE_TAR_NOPRESERVE_TIME', 'CONFIG_FEATURE_HTTPD_RANGES', 'CONFIG_FEATURE_EDITING', 'CONFIG_SUM', 'CONFIG_SUBST_WCHAR', 'CONFIG_SETSID', 'CONFIG_FEATURE_CROND_DIR', 'CONFIG_FEATURE_IPC_SYSLOG_BUFFER_SIZE', '-CONFIG_DESKTOP', '-CONFIG_FEATURE_SETPRIV_CAPABILITIES', '-CONFIG_FEATURE_BRCTL_SHOW', '-CONFIG_IPTUNNEL', '-CONFIG_TELINIT_PATH', 'CONFIG_START_STOP_DAEMON', 'CONFIG_BLKID', '-CONFIG_SHA512SUM', '-CONFIG_SHRED', 'CONFIG_ED', 'CONFIG_INOTIFYD', 'CONFIG_NC', 'CONFIG_UEVENT', 'CONFIG_FEATURE_IFUPDOWN_IP', 'CONFIG_LAST', 'CONFIG_FEATURE_CATN', 'CONFIG_SV_DEFAULT_SERVICE_DIR', 'CONFIG_FEATURE_FIND_REGEX', '-CONFIG_FEATURE_WC_LARGE', 'CONFIG_FEATURE_EDITING_HISTORY', '-CONFIG_FEATURE_PS_TIME', '-CONFIG_FEATURE_COMPRESS_BBCONFIG', '-CONFIG_FEATURE_UNZIP_BZIP2', 'CONFIG_LOADKMAP', '-CONFIG_CHPASSWD', '-CONFIG_FEATURE_TELNETD_INETD_WAIT', '-CONFIG_FEATURE_UNZIP_LZMA', 'CONFIG_INSMOD', 'CONFIG_MKSWAP', '-CONFIG_FEATURE_CMDLINE_MODULE_OPTIONS', 'CONFIG_CROND', 'CONFIG_COMM', 'CONFIG_HDPARM', 'CONFIG_UNLINK', '-CONFIG_FEATURE_IFCONFIG_STATUS', 'CONFIG_FEATURE_MOUNT_CIFS', '-CONFIG_MKFS_MINIX', 'CONFIG_HUSH', '-CONFIG_FEATURE_SETPRIV_CAPABILITY_NAMES', 'CONFIG_FEATURE_LOADFONT_RAW', 'CONFIG_HUSH_TEST', '-CONFIG_FDISK_SUPPORT_LARGE_DISKS', '-CONFIG_FEATURE_WGET_HTTPS', '-CONFIG_HUSH_LOOPS', '-CONFIG_UNAME_OSNAME', 'CONFIG_LOGIN', 'CONFIG_MESG', 'CONFIG_MAKEDEVS', 'CONFIG_FEATURE_TOP_CPU_GLOBAL_PERCENTS', 'CONFIG_FEATURE_CHAT_CLR_ABORT', '-CONFIG_UNICODE_USING_LOCALE', '-CONFIG_FEATURE_NTPD_CONF', 'CONFIG_TELNETD', 'CONFIG_FEATURE_ETC_NETWORKS', 'CONFIG_TR', 'CONFIG_LAST_ID', 'CONFIG_CAT', '-CONFIG_FEATURE_FBSET_READMODE', 'CONFIG_FEATURE_SEAMLESS_Z', 'CONFIG_DD', 'CONFIG_LPQ', '-CONFIG_FEATURE_BEEP_LENGTH_MS', '-CONFIG_INSTALL_APPLET_HARDLINKS', '-CONFIG_FEATURE_CPIO_P', 'CONFIG_LAST_SYSTEM_ID', 'CONFIG_NSLOOKUP', '-CONFIG_FEATURE_PS_ADDITIONAL_COLUMNS', '-CONFIG_FEATURE_CROND_SPECIAL_TIMES', 'CONFIG_FEATURE_SKIP_ROOTFS', '-CONFIG_ZCAT', 'CONFIG_FEATURE_HDPARM_HDIO_GETSET_DMA', '-CONFIG_MONOTONIC_SYSCALL', '-CONFIG_FEATURE_MOUNT_OTHERTAB', 'CONFIG_HOSTNAME', '-CONFIG_FEATURE_VOLUMEID_UDF', 'CONFIG_FEATURE_TOP_CPU_USAGE_PERCENTAGE', '-CONFIG_BASH_IS_NONE', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS', '-CONFIG_FEATURE_SUID_CONFIG', 'CONFIG_AWK', '-CONFIG_FEATURE_UNZIP_XZ', 'CONFIG_INETD', '-CONFIG_FEATURE_PS_UNUSUAL_SYSTEMS', 'CONFIG_FEATURE_FIND_NOT', '-CONFIG_FEATURE_IPCALC_LONG_OPTIONS', 'CONFIG_TOP', '-CONFIG_PIE', 'CONFIG_POPMAILDIR', '-CONFIG_FEATURE_UDHCPC6_RFC3646', 'CONFIG_FEATURE_VERBOSE_CP_MESSAGE', '-CONFIG_SETSERIAL']"
657,ps.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,6,True,"['-CONFIG_WHICH', 'CONFIG_UNICODE_COMBINING_WCHARS', 'CONFIG_FEATURE_IPV6', '-CONFIG_SWITCH_ROOT', 'CONFIG_FEATURE_HTTPD_PROXY', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_IFCONFIG', 'CONFIG_HEXDUMP', 'CONFIG_FEATURE_VI_UNDO', '-CONFIG_FEATURE_TELNET_TTYPE', 'CONFIG_FIRST_SYSTEM_ID', '-CONFIG_FEATURE_REMOTE_LOG', 'CONFIG_FEATURE_EDITING_SAVEHISTORY', 'CONFIG_FEATURE_FDISK_WRITABLE', '-CONFIG_FEATURE_BEEP_FREQ', 'CONFIG_UNICODE_SUPPORT', 'CONFIG_FEATURE_MIME_CHARSET', 'CONFIG_FEATURE_WTMP', 'CONFIG_GZIP', 'CONFIG_FEATURE_UTMP', 'CONFIG_RMMOD', 'CONFIG_LAST_SUPPORTED_WCHAR', '-CONFIG_FEATURE_CALL_TELINIT', '-CONFIG_FEATURE_SUID_CONFIG_QUIET', 'CONFIG_CHAT', 'CONFIG_MKTEMP', '-CONFIG_FEATURE_SPLIT_FANCY', 'CONFIG_FEATURE_PS_LONG', 'CONFIG_RESIZE', '-CONFIG_FEATURE_BUFFERS_GO_IN_BSS', 'CONFIG_FOLD', 'CONFIG_FEATURE_HTTPD_CGI', '-CONFIG_LINUX32', '-CONFIG_USLEEP', '-CONFIG_INSTALL_APPLET_DONT', 'CONFIG_FEATURE_MOUNT_FLAGS', 'CONFIG_TEST', '-CONFIG_BEEP', '-CONFIG_FEATURE_FIND_MTIME', '-CONFIG_INSTALL_SH_APPLET_SCRIPT_WRAPPER', 'CONFIG_TFTP', 'CONFIG_FDISK', '-CONFIG_HOSTID', 'CONFIG_MICROCOM', '-CONFIG_FEATURE_FANCY_ECHO', 'CONFIG_HUSH_FUNCTIONS', '-CONFIG_SED', '-CONFIG_FEATURE_MOUNT_NFS', '-CONFIG_FEATURE_SETFONT_TEXTUAL_MAP', 'CONFIG_WGET', 'CONFIG_LOADFONT', 'CONFIG_FEATURE_VOLUMEID_MINIX', 'CONFIG_FEATURE_USE_BSS_TAIL', '-CONFIG_FEATURE_TAR_NOPRESERVE_TIME', '-CONFIG_FEATURE_NAMEIF_EXTENDED', 'CONFIG_FEATURE_HTTPD_RANGES', 'CONFIG_FEATURE_EDITING', 'CONFIG_SUBST_WCHAR', '-CONFIG_FEATURE_TR_CLASSES', '-CONFIG_FEATURE_AR_CREATE', '-CONFIG_ASH_HELP', 'CONFIG_FEATURE_CROND_DIR', '-CONFIG_FEATURE_VOLUMEID_SQUASHFS', '-CONFIG_FEATURE_VOLUMEID_LUKS', '-CONFIG_DESKTOP', '-CONFIG_ENV', '-CONFIG_FEATURE_BRCTL_SHOW', '-CONFIG_UPTIME', 'CONFIG_START_STOP_DAEMON', '-CONFIG_PRINTF', '-CONFIG_SHA512SUM', '-CONFIG_SHRED', 'CONFIG_FEATURE_LS_FOLLOWLINKS', '-CONFIG_MKDOSFS', '-CONFIG_FEATURE_TAR_CREATE', 'CONFIG_SV_DEFAULT_SERVICE_DIR', 'CONFIG_FEATURE_EDITING_HISTORY', '-CONFIG_FEATURE_PS_TIME', '-CONFIG_FEATURE_COMPRESS_BBCONFIG', '-CONFIG_FEATURE_UNZIP_BZIP2', 'CONFIG_FEATURE_TAR_LONG_OPTIONS', '-CONFIG_FEATURE_START_STOP_DAEMON_LONG_OPTIONS', 'CONFIG_LOADKMAP', '-CONFIG_FEATURE_FBSET_FANCY', 'CONFIG_HUSH_EXPORT', '-CONFIG_FEATURE_UNZIP_LZMA', 'CONFIG_FEATURE_WGET_AUTHENTICATION', 'CONFIG_MKSWAP', '-CONFIG_FEATURE_HTTPD_SET_REMOTE_PORT_TO_ENV', 'CONFIG_REMOVE_SHELL', '-CONFIG_FEATURE_CMDLINE_MODULE_OPTIONS', 'CONFIG_NUKE', 'CONFIG_COMM', 'CONFIG_HDPARM', 'CONFIG_UNLINK', 'CONFIG_TUNE2FS', '-CONFIG_CHVT', '-CONFIG_FEATURE_HTTPD_AUTH_MD5', '-CONFIG_FEATURE_TOP_SMP_CPU', '-CONFIG_FEATURE_SETPRIV_CAPABILITY_NAMES', 'CONFIG_FEATURE_LOADFONT_RAW', 'CONFIG_CUT', '-CONFIG_FDISK_SUPPORT_LARGE_DISKS', '-CONFIG_HUSH_LOOPS', '-CONFIG_FEATURE_GZIP_LONG_OPTIONS', 'CONFIG_LOGIN', '-CONFIG_SCRIPTREPLAY', 'CONFIG_SHOW_USAGE', 'CONFIG_FEATURE_CHAT_CLR_ABORT', '-CONFIG_FEATURE_NOLOGIN', '-CONFIG_UNICODE_USING_LOCALE', '-CONFIG_FEATURE_SHARED_BUSYBOX', '-CONFIG_FEATURE_NTPD_CONF', 'CONFIG_TELNETD', 'CONFIG_FEATURE_MDEV_CONF', 'CONFIG_FEATURE_ETC_NETWORKS', 'CONFIG_MDEV', 'CONFIG_LAST_ID', '-CONFIG_FEATURE_SETPRIV_DUMP', '-CONFIG_FEATURE_FBSET_READMODE', 'CONFIG_DD', 'CONFIG_LPQ', '-CONFIG_FEATURE_BEEP_LENGTH_MS', 'CONFIG_PSCAN', 'CONFIG_TUNCTL', 'CONFIG_LAST_SYSTEM_ID', '-CONFIG_FEATURE_VOLUMEID_FAT', '-CONFIG_FEATURE_XARGS_SUPPORT_PARALLEL', '-CONFIG_FEATURE_PS_ADDITIONAL_COLUMNS', '-CONFIG_DPKG_DEB', '-CONFIG_FEATURE_FIND_EXEC_PLUS', 'CONFIG_FEATURE_SKIP_ROOTFS', '-CONFIG_DPKG', '-CONFIG_DEVFSD_VERBOSE', 'CONFIG_FEATURE_LS_COLOR', 'CONFIG_SU', '-CONFIG_MONOTONIC_SYSCALL', '-CONFIG_FEATURE_MOUNT_OTHERTAB', 'CONFIG_FEATURE_AIX_LABEL', '-CONFIG_FEATURE_VOLUMEID_UDF', '-CONFIG_FEATURE_VOLUMEID_REISERFS', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS', 'CONFIG_BB_ARCH', '-CONFIG_FEATURE_SUID_CONFIG', '-CONFIG_FEATURE_UNZIP_XZ', 'CONFIG_DATE', 'CONFIG_INETD', '-CONFIG_FEATURE_PS_UNUSUAL_SYSTEMS', 'CONFIG_FEATURE_FIND_NOT', '-CONFIG_IFPLUGD', 'CONFIG_TOP', '-CONFIG_PIE', '-CONFIG_LZOPCAT', '-CONFIG_HUSH_IF', '-CONFIG_GETENFORCE', '-CONFIG_FEATURE_HDPARM_HDIO_DRIVE_RESET', 'CONFIG_ACPID']"
1182,ls.c,cppcheck,busybox_1_28_0, (error) Null pointer dereference,5,True,"['-CONFIG_SH_IS_NONE', '-CONFIG_FEATURE_INSTALL_LONG_OPTIONS', 'CONFIG_DHCPD_LEASES_FILE', 'CONFIG_FEATURE_SEAMLESS_GZ', 'CONFIG_HUSH_WAIT', 'CONFIG_FEATURE_IPV6', '-CONFIG_IPNEIGH', 'CONFIG_IONICE', 'CONFIG_AR', '-CONFIG_FEATURE_VI_UNDO_QUEUE_MAX', 'CONFIG_FEATURE_EDITING_MAX_LEN', 'CONFIG_IFCONFIG', '-CONFIG_GROUPS', 'CONFIG_FEATURE_MOUNT_LOOP', 'CONFIG_FEATURE_VI_UNDO', '-CONFIG_MODINFO', '-CONFIG_FEATURE_DC_LIBM', 'CONFIG_BUILD_LIBBUSYBOX', '-CONFIG_FTPD', '-CONFIG_BASH_IS_HUSH', 'CONFIG_FEATURE_FDISK_WRITABLE', 'CONFIG_UNICODE_SUPPORT', '-CONFIG_FEATURE_DD_THIRD_STATUS_LINE', 'CONFIG_FEATURE_MIME_CHARSET', 'CONFIG_FEATURE_TFTP_PUT', '-CONFIG_FEATURE_CLEAN_UP', 'CONFIG_GZIP', 'CONFIG_FEATURE_VI_YANKMARK', '-CONFIG_FEATURE_TAR_FROM', 'CONFIG_FEATURE_UTMP', 'CONFIG_RMMOD', 'CONFIG_LAST_SUPPORTED_WCHAR', '-CONFIG_FEATURE_MDEV_RENAME_REGEXP', 'CONFIG_CMP', '-CONFIG_GUNZIP', 'CONFIG_LOAD_POLICY', 'CONFIG_FEATURE_XARGS_SUPPORT_ZERO_TERM', '-CONFIG_FEATURE_FTPD_ACCEPT_BROKEN_LIST', 'CONFIG_DOS2UNIX', 'CONFIG_CHAT', '-CONFIG_FEATURE_LS_FILETYPES', '-CONFIG_LFS', '-CONFIG_FEATURE_SPLIT_FANCY', 'CONFIG_DEVFSD_FG_NP', 'CONFIG_UNZIP', 'CONFIG_FEATURE_TAR_OLDSUN_COMPATIBILITY', 'CONFIG_RESIZE', '-CONFIG_BZIP2', 'CONFIG_FOLD', 'CONFIG_FEATURE_HTTPD_CGI', 'CONFIG_FSTRIM', '-CONFIG_TEST2', '-CONFIG_INSTALL_APPLET_DONT', 'CONFIG_FEATURE_IP_RULE', '-CONFIG_FEATURE_TUNCTL_UG', '-CONFIG_SETFATTR', 'CONFIG_TEE', 'CONFIG_UDHCPC', '-CONFIG_INSTALL_SH_APPLET_SCRIPT_WRAPPER', 'CONFIG_TFTP', 'CONFIG_FDISK', 'CONFIG_IPCALC', '-CONFIG_HOSTID', '-CONFIG_FEATURE_STAT_FILESYSTEM', '-CONFIG_SED', '-CONFIG_FEATURE_FIND_PRUNE', '-CONFIG_SLATTACH', 'CONFIG_WGET', 'CONFIG_FEATURE_IP_RARE_PROTOCOLS', 'CONFIG_FEATURE_SETCONSOLE_LONG_OPTIONS', 'CONFIG_TLS', 'CONFIG_IP', 'CONFIG_MATCHPATHCON', 'CONFIG_FEATURE_USE_BSS_TAIL', 'CONFIG_FEATURE_NAMEIF_EXTENDED', 'CONFIG_FEATURE_EDITING', 'CONFIG_UDHCPC6', 'CONFIG_SUBST_WCHAR', 'CONFIG_FEATURE_USE_INITTAB', '-CONFIG_FEATURE_TR_CLASSES', '-CONFIG_FEATURE_INETD_SUPPORT_BUILTIN_TIME', 'CONFIG_FEATURE_CROND_DIR', '-CONFIG_EFENCE', 'CONFIG_SMEMCAP', '-CONFIG_FEATURE_VOLUMEID_LUKS', 'CONFIG_FDFORMAT', '-CONFIG_MKFIFO', 'CONFIG_RESTORECON', 'CONFIG_STAT', '-CONFIG_LPD', '-CONFIG_FEATURE_SU_SYSLOG', 'CONFIG_HALT', 'CONFIG_START_STOP_DAEMON', '-CONFIG_FEATURE_LS_RECURSIVE', '-CONFIG_HUSH_JOB', 'CONFIG_MKPASSWD', 'CONFIG_PASSWD', 'CONFIG_FEATURE_UDHCPD_WRITE_LEASES_EARLY', 'CONFIG_INOTIFYD', 'CONFIG_RESUME', '-CONFIG_USERS', 'CONFIG_TASKSET', '-CONFIG_FEATURE_DATE_COMPAT', '-CONFIG_FEATURE_SH_MATH_64', 'CONFIG_MKE2FS', 'CONFIG_SWAPON', 'CONFIG_FEATURE_POPMAILDIR_DELIVERY', '-CONFIG_FEATURE_MAKEDEVS_LEAF', 'CONFIG_FEATURE_EDITING_HISTORY', 'CONFIG_HWCLOCK', '-CONFIG_MT', 'CONFIG_SETCONSOLE', 'CONFIG_FEATURE_TAR_LONG_OPTIONS', '-CONFIG_FEATURE_GETOPT_LONG', 'CONFIG_INSTALL', 'CONFIG_BASE64', '-CONFIG_FEATURE_SH_HISTFILESIZE', '-CONFIG_FEATURE_UNZIP_LZMA', 'CONFIG_FEATURE_MOUNT_HELPERS', 'CONFIG_FEATURE_WGET_AUTHENTICATION', 'CONFIG_NETSTAT', '-CONFIG_OD', '-CONFIG_INSTALL_SH_APPLET_HARDLINK', 'CONFIG_FEATURE_LS_USERNAME', 'CONFIG_CROND', 'CONFIG_EGREP', 'CONFIG_BOOTCHARTD', '-CONFIG_RPM', '-CONFIG_FEATURE_TOUCH_NODEREF', 'CONFIG_FEATURE_SGI_LABEL', '-CONFIG_FEATURE_HTTPD_AUTH_MD5', 'CONFIG_FEATURE_DEVPTS', 'CONFIG_LSMOD', 'CONFIG_FBSET', 'CONFIG_FSCK_MINIX', '-CONFIG_FEATURE_TOP_SMP_CPU', 'CONFIG_HUSH', '-CONFIG_RM', 'CONFIG_FEATURE_DEFAULT_PASSWD_ALGO', '-CONFIG_FEATURE_NTPD_SERVER', '-CONFIG_FEATURE_FTPD_WRITE', '-CONFIG_FEATURE_RUN_PARTS_FANCY', '-CONFIG_FDISK_SUPPORT_LARGE_DISKS', '-CONFIG_FEATURE_MOUNT_VERBOSE', '-CONFIG_FEATURE_FANCY_HEAD', 'CONFIG_MD5SUM', 'CONFIG_FALSE', '-CONFIG_NMETER', 'CONFIG_FEATURE_GZIP_DECOMPRESS', '-CONFIG_FEATURE_TOP_CPU_GLOBAL_PERCENTS', 'CONFIG_FEATURE_HWCLOCK_ADJTIME_FHS', '-CONFIG_UNICODE_USING_LOCALE', '-CONFIG_FEATURE_SHARED_BUSYBOX', 'CONFIG_DEVFSD', '-CONFIG_HUSH_HELP', 'CONFIG_IOCTL_HEX2STR_ERROR', 'CONFIG_TELNETD', 'CONFIG_FEATURE_MDEV_CONF', 'CONFIG_FSCK', 'CONFIG_MDEV', 'CONFIG_LAST_ID', 'CONFIG_FEATURE_HTTPD_CONFIG_WITH_SCRIPT_INTERPR', 'CONFIG_XZ', 'CONFIG_FEATURE_FIND_GROUP', '-CONFIG_MODPROBE_SMALL', '-CONFIG_FEATURE_UMOUNT_ALL', 'CONFIG_UNLZOP', 'CONFIG_LAST_SYSTEM_ID', 'CONFIG_FEATURE_FAST_TOP', '-CONFIG_FEATURE_INDIVIDUAL', 'CONFIG_PIDOF', '-CONFIG_FEATURE_CATV', '-CONFIG_FEATURE_FIND_EXEC_PLUS', '-CONFIG_FEATURE_GZIP_LEVELS', '-CONFIG_FEATURE_IFCONFIG_BROADCAST_PLUS', '-CONFIG_DEVFSD_VERBOSE', 'CONFIG_UNICODE_NEUTRAL_TABLE', '-CONFIG_FEATURE_MOUNT_OTHERTAB', 'CONFIG_FEATURE_TRACEROUTE_VERBOSE', '-CONFIG_FEATURE_FTPD_AUTHENTICATION', '-CONFIG_WHOIS', 'CONFIG_ROUTE', '-CONFIG_USE_BB_SHADOW', '-CONFIG_FEATURE_HDPARM_HDIO_TRISTATE_HWIF', '-CONFIG_FEATURE_SH_EXTRA_QUIET', '-CONFIG_FEATURE_BUFFERS_USE_MALLOC', 'CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS', 'CONFIG_AWK', 'CONFIG_FEATURE_VI_READONLY', '-CONFIG_FEATURE_VI_UNDO_QUEUE', 'CONFIG_REFORMIME', 'CONFIG_INETD', '-CONFIG_GETTY', '-CONFIG_HUSH_MEMLEAK', 'CONFIG_SV', 'CONFIG_ASH_OPTIMIZE_FOR_SIZE', 'CONFIG_TOP', '-CONFIG_IFENSLAVE', '-CONFIG_FEATURE_PS_WIDE', 'CONFIG_FEATURE_TOP_INTERACTIVE', '-CONFIG_UNLZMA', 'CONFIG_FEATURE_FIND_DEPTH', '-CONFIG_FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED', 'CONFIG_TOUCH', 'CONFIG_UDHCPD', '-CONFIG_FEATURE_VOLUMEID_JFS', '-CONFIG_SETSERIAL', 'CONFIG_GETENFORCE', '-CONFIG_FEATURE_FLOAT_SLEEP', '-CONFIG_LZOP_COMPR_HIGH']"
255,get_devname.c,cppcheck,busybox_1_28_0, (error) Uninitialized variable,65,False,"['CONFIG_PASSWORD_MINLEN', 'CONFIG_FEATURE_VI_MAX_LEN', '-CONFIG_STATIC', 'CONFIG_HAVE_DOT_CONFIG', 'CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS', '-CONFIG_NOMMU', 'CONFIG_FEATURE_SYSLOGD_READ_BUFFER_SIZE', 'CONFIG_FEATURE_COPYBUF_KB', 'CONFIG_HTTPD', 'CONFIG_MD5_SMALL', 'CONFIG_MOUNT', 'CONFIG_PREFIX', '-CONFIG_FEATURE_INSMOD_LOADINKMEM', 'CONFIG_VOLUMEID', 'CONFIG_BUSYBOX_EXEC_PATH', 'CONFIG_VI', 'CONFIG_LESS', 'CONFIG_LS', 'CONFIG_LONG_OPTS', 'CONFIG_UDHCP_DEBUG', 'CONFIG_PLATFORM_LINUX', '-CONFIG_WERROR', 'CONFIG_SELINUX', '-CONFIG_FEATURE_INSMOD_LOAD_MAP', 'CONFIG_XARGS', '-CONFIG_FEATURE_INSMOD_LOAD_MAP_FULL', 'CONFIG_FIND', 'CONFIG_TAR', 'CONFIG_FEATURE_SYSLOG', '-CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS', 'CONFIG_FEATURE_LESS_MAXLINES', 'CONFIG_INIT_TERMINAL_TYPE', 'CONFIG_IFUPDOWN_IFSTATE_PATH', '-CONFIG_FEATURE_2_4_MODULES', 'CONFIG_SHA3_SMALL', '-CONFIG_FEATURE_INSMOD_VERSION_CHECKING', 'CONFIG_SYSLOGD', '-CONFIG_FEATURE_LIBBUSYBOX_STATIC']"
