line,filename,tool,target,type,num_configs,variability
328,coreutils/printf.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1519,editors/awk.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1323,networking/ntpd.c,CBMC,busybox_1_28_0,overflow,1,False
214,coreutils/tr.c,CBMC,busybox_1_28_0,overflow,1,False
7717,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,1,False
538,networking/udhcp/dhcpd.c,CBMC,busybox_1_28_0,overflow,1,False
200,util-linux/volume_id/fat.c,CBMC,busybox_1_28_0,pointer dereference,1,False
977,coreutils/stty.c,CBMC,busybox_1_28_0,pointer dereference,1,False
8799,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,1,False
618,runit/sv.c,CBMC,busybox_1_28_0,overflow,1,False
444,util-linux/mkfs_minix.c,CBMC,busybox_1_28_0,pointer dereference,1,False
461,archival/libarchive/decompress_bunzip2.c,CBMC,busybox_1_28_0,array bounds,1,False
184,archival/libarchive/unxz/xz_dec_stream.c,CBMC,busybox_1_28_0,overflow,1,False
281,libbb/update_passwd.c,CBMC,busybox_1_28_0,overflow,1,False
100,archival/libarchive/bz/bzlib.c,CBMC,busybox_1_28_0,pointer dereference,1,False
215,util-linux/cal.c,CBMC,busybox_1_28_0,overflow,1,False
528,networking/telnet.c,CBMC,busybox_1_28_0,overflow,1,False
315,networking/udhcp/d6_dhcpc.c,CBMC,busybox_1_28_0,pointer dereference,1,False
251,libbb/lineedit.c,CBMC,busybox_1_28_0,overflow,1,False
2148,util-linux/mount.c,CBMC,busybox_1_28_0,overflow,1,False
578,e2fsprogs/fsck.c,CBMC,busybox_1_28_0,pointer dereference,1,False
803,coreutils/ls.c,CBMC,busybox_1_28_0,assertion,1,False
714,procps/mpstat.c,CBMC,busybox_1_28_0,pointer dereference,1,False
833,networking/httpd.c,CBMC,busybox_1_28_0,pointer dereference,1,False
755,sysklogd/syslogd.c,CBMC,busybox_1_28_0,pointer dereference,1,False
884,networking/telnetd.c,CBMC,busybox_1_28_0,pointer dereference,1,False
282,networking/tftp.c,CBMC,busybox_1_28_0,overflow,1,False
55,mailutils/mail.c,CBMC,busybox_1_28_0,overflow,1,False
357,networking/udhcp/common.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1120,miscutils/less.c,CBMC,busybox_1_28_0,overflow,1,False
139,coreutils/wc.c,CBMC,busybox_1_28_0,overflow,1,False
299,init/bootchartd.c,CBMC,busybox_1_28_0,pointer dereference,1,False
506,util-linux/mkfs_vfat.c,CBMC,busybox_1_28_0,pointer dereference,1,False
1069,networking/wget.c,CBMC,busybox_1_28_0,pointer dereference,1,False
910,networking/httpd.c,CBMC,busybox_1_28_0,pointer dereference,1,False
2894,editors/vi.c,CBMC,busybox_1_28_0,overflow,1,False
9585,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,1,False
832,libbb/lineedit.c,CBMC,busybox_1_28_0,pointer dereference,1,False
270,archival/libarchive/decompress_uncompress.c,CBMC,busybox_1_28_0,overflow,1,False
1780,util-linux/mount.c,CBMC,busybox_1_28_0,overflow,1,False
10252,shell/hush.c,CBMC,busybox_1_28_0,pointer dereference,1,False
