line,filename,tool,target,type,num_configs,variability
369,runsv.c,clang,busybox_1_28_0,Logic error,1,False
2058,fdisk.c,clang,busybox_1_28_0,Logic error,1,False
165,decompress_bunzip2.c,clang,busybox_1_28_0,Logic error,1,False
250,tcpudp.c,clang,busybox_1_28_0,Logic error,1,False
791,fsck_minix.c,clang,busybox_1_28_0,Dead store,1,False
1262,stty.c,clang,busybox_1_28_0,Logic error,1,False
174,split-include.c,clang,busybox_1_28_0,Memory error,1,False
155,appletlib.c,clang,busybox_1_28_0,Logic error,1,False
8369,hush.c,clang,busybox_1_28_0,Dead store,1,False
6179,hush.c,clang,busybox_1_28_0,API,1,False
481,telnetd.c,clang,busybox_1_28_0,Security,1,False
1217,inetd.c,clang,busybox_1_28_0,Logic error,1,False
217,cp.c,clang,busybox_1_28_0,Memory error,1,False
281,chpst.c,clang,busybox_1_28_0,Logic error,1,False
2303,awk.c,clang,busybox_1_28_0,Logic error,1,False
109,mconf.c,clang,busybox_1_28_0,Logic error,1,False
2461,awk.c,clang,busybox_1_28_0,Logic error,1,False
70,beep.c,clang,busybox_1_28_0,Logic error,1,False
70,flash_eraseall.c,clang,busybox_1_28_0,Logic error,1,False
650,telnetd.c,clang,busybox_1_28_0,Logic error,1,False
207,cp.c,clang,busybox_1_28_0,Memory error,1,False
75,decompress_unxz.c,clang,busybox_1_28_0,Logic error,1,False
2387,awk.c,clang,busybox_1_28_0,Logic error,1,False
2344,awk.c,clang,busybox_1_28_0,Logic error,1,False
114,openvt.c,clang,busybox_1_28_0,Security,1,False
120,lpd.c,clang,busybox_1_28_0,Logic error,1,False
694,ftpd.c,clang,busybox_1_28_0,Security,1,False
63,lpr.c,clang,busybox_1_28_0,Dead store,1,False
1251,dhcpc.c,clang,busybox_1_28_0,Logic error,1,False
5315,hush.c,clang,busybox_1_28_0,Dead store,1,False
695,appletlib.c,clang,busybox_1_28_0,Security,1,False
552,mpstat.c,clang,busybox_1_28_0,Logic error,1,False
412,nmeter.c,clang,busybox_1_28_0,Dead store,1,False
48,crontab.c,clang,busybox_1_28_0,Logic error,1,False
747,init.c,clang,busybox_1_28_0,Logic error,1,False
493,fbsplash.c,clang,busybox_1_28_0,Logic error,1,False
