line,filename,tool,target,type,num_configs,variability
1096,lib/lib.c,CBMC,toybox_0_7_5,pointer dereference,1,False
236,toys/other/bzcat.c,CBMC,toybox_0_7_5,overflow,1,False
667,toys/posix/sed.c,CBMC,toybox_0_7_5,pointer dereference,1,False
428,toys/posix/sed.c,CBMC,toybox_0_7_5,pointer dereference,1,False
53,toys/posix/env.c,CBMC,toybox_0_7_5,pointer dereference,1,False
201,toys/posix/ls.c,CBMC,toybox_0_7_5,pointer dereference,1,False
1544,toys/posix/ps.c,CBMC,toybox_0_7_5,overflow,1,False
526,toys/posix/ls.c,CBMC,toybox_0_7_5,assertion,1,False
78,toys/posix/ls.c,CBMC,toybox_0_7_5,overflow,1,False
150,toys/posix/cpio.c,CBMC,toybox_0_7_5,assertion,1,False
37,toys/posix/uuencode.c,CBMC,toybox_0_7_5,overflow,1,False
342,toys/posix/ls.c,CBMC,toybox_0_7_5,assertion,1,False
1240,lib/lib.c,CBMC,toybox_0_7_5,pointer dereference,1,False
226,toys/posix/file.c,CBMC,toybox_0_7_5,overflow,1,False
289,toys/posix/find.c,CBMC,toybox_0_7_5,overflow,1,False
262,toys/posix/ls.c,CBMC,toybox_0_7_5,pointer dereference,1,False
333,toys/posix/patch.c,CBMC,toybox_0_7_5,pointer dereference,1,False
298,toys/other/lsattr.c,CBMC,toybox_0_7_5,pointer dereference,1,False
82,toys/other/modinfo.c,CBMC,toybox_0_7_5,pointer dereference,1,False
523,toys/posix/ps.c,CBMC,toybox_0_7_5,pointer dereference,1,False
73,toys/other/stat.c,CBMC,toybox_0_7_5,overflow,1,False
125,toys/posix/file.c,CBMC,toybox_0_7_5,pointer dereference,1,False
652,lib/lib.c,CBMC,toybox_0_7_5,pointer dereference,1,False
148,lib/args.c,CBMC,toybox_0_7_5,pointer dereference,1,False
317,toys/net/ifconfig.c,CBMC,toybox_0_7_5,overflow,1,False
129,toys/posix/file.c,CBMC,toybox_0_7_5,overflow,1,False
