line,filename,tool,target,type,num_configs,variability
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,1,False
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
390,ssl/tls1_clnt.c,infer,axtls_2_1_4,DEAD_STORE,1,False
255,ssl/x509.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
657,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
737,ssl/x509.c,infer,axtls_2_1_4,DEAD_STORE,1,False
209,ssl/tls1_clnt.c,infer,axtls_2_1_4,DEAD_STORE,1,False
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
252,ssl/x509.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
249,ssl/x509.c,infer,axtls_2_1_4,MEMORY_LEAK,1,False
572,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
1373,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
