iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,2010,[]
1,914,47.711442786069654,1051,['914']
2,39,72.13930348258707,560,"['914', '39']"
3,175,85.07462686567165,300,"['914', '39', '175']"
4,862,91.59203980099502,169,"['914', '39', '175', '862']"
5,613,95.32338308457712,94,"['914', '39', '175', '862', '613']"
6,25,97.2636815920398,55,"['914', '39', '175', '862', '613', '25']"
7,357,98.40796019900498,32,"['914', '39', '175', '862', '613', '25', '357']"
8,263,99.00497512437812,20,"['914', '39', '175', '862', '613', '25', '357', '263']"
9,971,99.35323383084577,13,"['914', '39', '175', '862', '613', '25', '357', '263', '971']"
10,982,99.60199004975124,8,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982']"
11,299,99.75124378109453,5,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982', '299']"
12,685,99.85074626865672,3,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982', '299', '685']"
13,268,99.90049751243781,2,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982', '299', '685', '268']"
14,983,99.95024875621891,1,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982', '299', '685', '268', '983']"
15,268,100.0,0,"['914', '39', '175', '862', '613', '25', '357', '263', '971', '982', '299', '685', '268', '983', '268']"
