iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,125,[]
1,602,38.4,77,['602']
2,368,60.8,49,"['602', '368']"
3,000,76.0,30,"['602', '368', '000']"
4,458,84.8,19,"['602', '368', '000', '458']"
5,449,90.4,12,"['602', '368', '000', '458', '449']"
6,000,93.60000000000001,8,"['602', '368', '000', '458', '449', '000']"
7,368,96.0,5,"['602', '368', '000', '458', '449', '000', '368']"
8,535,97.6,3,"['602', '368', '000', '458', '449', '000', '368', '535']"
9,000,99.2,1,"['602', '368', '000', '458', '449', '000', '368', '535', '000']"
10,368,100.0,0,"['602', '368', '000', '458', '449', '000', '368', '535', '000', '368']"
