line,filename,tool,target,type,num_configs,variability,feagures
406,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,379,True,CONFIG_SSL_HAS_PEM
330,ssl/loader.c,infer,axtls_2_1_4,MEMORY_LEAK,379,True,CONFIG_SSL_HAS_PEM
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
117,httpd/htpasswd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,237,True,-CONFIG_C_SAMPLES and CONFIG_AXHTTPD and CONFIG_HTTP_HAS_AUTHORIZATION
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
489,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,736,True,CONFIG_AXHTTPD
135,httpd/htpasswd.c,infer,axtls_2_1_4,MEMORY_LEAK,237,True,-CONFIG_C_SAMPLES and CONFIG_AXHTTPD and CONFIG_HTTP_HAS_AUTHORIZATION
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
670,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
1373,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,355,True,-CONFIG_BIGINT_SLIDING_WINDOW
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
633,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
69,ssl/openssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,385,True,CONFIG_OPENSSL_COMPATIBLE
476,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
640,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
671,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
614,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,736,True,CONFIG_AXHTTPD
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
669,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
1319,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,383,True,CONFIG_AXHTTPD and CONFIG_BIGINT_SLIDING_WINDOW
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,738,False,generic
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True,CONFIG_SSL_USE_PKCS12
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
173,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True,CONFIG_SSL_USE_PKCS12
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
479,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,492,True,CONFIG_AXHTTPD and CONFIG_HTTP_HAS_CGI
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,356,True,CONFIG_SSL_USE_PKCS12
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,738,False,generic
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
295,httpd/axhttpd.c,infer,axtls_2_1_4,DEAD_STORE,64,True,-CONFIG_C_SAMPLES and CONFIG_AXHTTPD and -CONFIG_HTTP_HAS_AUTHORIZATION and CONFIG_HTTP_ENABLE_DIFFERENT_USER and -CONFIG_HTTP_VERBOSE
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,738,False,generic
