line,filename,tool,target,type,num_configs,variability,features
176,lib_args.c,clang,toybox_0_7_5,Logic error,986,False,generic
214,lib_args.c,clang,toybox_0_7_5,Logic error,704,True,TOYBOX_FLOAT
150,ftpget.c,clang,toybox_0_7_5,Logic error,738,True,FTPGET or FTPPUT
66,timeout.c,clang,toybox_0_7_5,Logic error,350,True,TIMEOUT
60,oneit.c,clang,toybox_0_7_5,Security,512,True,ONEIT
322,file.c,clang,toybox_0_7_5,Logic error,483,True,FILE
184,xargs.c,clang,toybox_0_7_5,Logic error,664,True,XARGS
33,lib_password.c,clang,toybox_0_7_5,Dead store,986,False,generic
382,patch.c,clang,toybox_0_7_5,Logic error,490,True,PATCH
928,sed.c,clang,toybox_0_7_5,Dead store,494,True,SED
167,od.c,clang,toybox_0_7_5,Logic error,491,True,OD
349,ls.c,clang,toybox_0_7_5,API,655,True,LS
136,grep.c,clang,toybox_0_7_5,Dead store,507,True,GREP
29,uudecode.c,clang,toybox_0_7_5,Logic error,485,True,UUDECODE
218,lib_xwrap.c,clang,toybox_0_7_5,Security,986,False,generic
40,uuencode.c,clang,toybox_0_7_5,Dead store,514,True,UUENCODE
273,md5sum.c,clang,toybox_0_7_5,Logic error,622,True,check
201,lib_args.c,clang,toybox_0_7_5,Logic error,986,False,generic
183,ftpget.c,clang,toybox_0_7_5,Dead store,243,True,-CONFIG_FTPGET and CONFIG_FTPPUT
31,time.c,clang,toybox_0_7_5,Logic error,350,True,TIME
490,lib_args.c,clang,toybox_0_7_5,Logic error,986,False,generic
22,setsid.c,clang,toybox_0_7_5,Logic error,492,True,SETSID
130,find.c,clang,toybox_0_7_5,Dead store,515,True,FIND
210,lib_args.c,clang,toybox_0_7_5,Logic error,986,False,generic
105,netcat.c,clang,toybox_0_7_5,Dead store,347,True,-TOYBOX_FREE and NETCAT
116,od.c,clang,toybox_0_7_5,Logic error,491,True,OD
779,sed.c,clang,toybox_0_7_5,Dead store,494,True,SED
21,lib_help.c,clang,toybox_0_7_5,Dead store,127,True,TOYBOX_HELP
178,netcat.c,clang,toybox_0_7_5,Security,658,True,NETCAT
159,id.c,clang,toybox_0_7_5,Memory error,472,True,TOYBOX_SELINUX and TOYBOX_FREE
149,cp.c,clang,toybox_0_7_5,API,897,True,MV or CP or INSTALL
193,date.c,clang,toybox_0_7_5,Dead store,511,True,DATE
51,vmstat.c,clang,toybox_0_7_5,Logic error,508,True,VMSTAT
375,patch.c,clang,toybox_0_7_5,API,490,True,PATCH
397,patch.c,clang,toybox_0_7_5,API,490,True,PATCH
137,date.c,clang,toybox_0_7_5,Logic error,511,True,DATE
121,hwclock.c,clang,toybox_0_7_5,Logic error,466,True,HWCLOCK
309,lib_args.c,clang,toybox_0_7_5,Logic error,519,True,-TOYBOX_DEBUG
49,switch_root.c,clang,toybox_0_7_5,Logic error,486,True,SWITCH_ROOT
64,losetup.c,clang,toybox_0_7_5,Logic error,531,True,LOSETUP
353,ls.c,clang,toybox_0_7_5,Logic error,329,True,LS and -TOYBOX_DEBUG
115,hwclock.c,clang,toybox_0_7_5,Logic error,466,True,HWCLOCK
287,cpio.c,clang,toybox_0_7_5,Logic error,512,True,CPIO
366,lib_args.c,clang,toybox_0_7_5,Logic error,519,True,-TOYBOX_DEBUG
1506,ps.c,clang,toybox_0_7_5,Dead store,962,True,PS or TOP or IOTOP or PGREP or PKILL
158,grep.c,clang,toybox_0_7_5,Logic error,507,True,GREP
89,hwclock.c,clang,toybox_0_7_5,Logic error,466,True,HWCLOCK
20,realpath.c,clang,toybox_0_7_5,Dead store,483,True,REALPATH
82,oneit.c,clang,toybox_0_7_5,Security,512,True,ONEIT
113,find.c,clang,toybox_0_7_5,Dead store,515,True,FIND
186,netcat.c,clang,toybox_0_7_5,Logic error,297,True,NETCAT
118,ifconfig.c,clang,toybox_0_7_5,Dead store,457,True,IFCONFIG
196,lib_args.c,clang,toybox_0_7_5,Logic error,986,False,generic
203,ftpget.c,clang,toybox_0_7_5,Logic error,235,True,FTPGET and TOYBOX_FREE
49,taskset.c,clang,toybox_0_7_5,Dead store,730,True,TASKSET or NPROC
24,chvt.c,clang,toybox_0_7_5,Logic error,512,True,CHVT
