line,filename,tool,description,target,type,configs,num_configs,variability,features
377,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
264,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
26,toys/posix/pwd.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,524,True,PWD
287,toys/posix/cpio.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,512,True,CPIO
225,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
737,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
428,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
130,toys/posix/find.c,infer,,toybox_0_7_5,DEAD_STORE,,515,True,FIND
779,toys/posix/sed.c,infer,,toybox_0_7_5,DEAD_STORE,,494,True,SED
397,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
232,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
912,toys/posix/sed.c,infer,,toybox_0_7_5,DEAD_STORE,,494,True,SED
203,toys/lsb/md5sum.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,954,True,CONFIG_SHA1SUM or CONFIG_SHA384SUM or CONFIG_SHA512SUM or CONFIG_SHA224SUM or CONFIG_SHA256SUM or CONFIG_MD5SUM
101,scripts/mkflags.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,986,False,generic
92,toys/posix/od.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,491,True,OD
147,toys/lsb/md5sum.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,954,True,CONFIG_SHA1SUM or CONFIG_SHA384SUM or CONFIG_SHA512SUM or CONFIG_SHA224SUM or CONFIG_SHA256SUM or CONFIG_MD5SUM
219,toys/other/lsattr.c,infer,,toybox_0_7_5,DEAD_STORE,,743,True,LSATTR or CHATTR
111,toys/lsb/passwd.c,infer,,toybox_0_7_5,DEAD_STORE,,640,True,PASSWD
707,lib/lib.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
63,lib/lsm.h,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,922,True,check
254,toys/other/bzcat.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,748,True,BZCAT or BUNZIP2
1268,lib/lib.c,infer,,toybox_0_7_5,MEMORY_LEAK,,986,False,generic
286,lib/args.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
20,toys/other/realpath.c,infer,,toybox_0_7_5,DEAD_STORE,,483,True,REALPATH
193,toys/posix/date.c,infer,,toybox_0_7_5,DEAD_STORE,,511,True,DATE
448,toys/posix/ps.c,infer,,toybox_0_7_5,DEAD_STORE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
115,toys/other/hwclock.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,466,True,HWCLOCK
72,toys/other/oneit.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,512,True,ONEIT
389,lib/xwrap.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,986,False,generic
86,toys/other/pmap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,500,True,PMAP
151,toys/net/ftpget.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,738,True,FTPGET or FTPPUT
92,scripts/mkflags.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,986,False,generic
94,toys/net/rfkill.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,468,True,RFKILL
42,toys/other/nbd_client.c,infer,,toybox_0_7_5,DEAD_STORE,,248,True,CONFIG_NBD_CLIENT and -CONFIG_TOYBOX_MUSL_NOMMU_IS_BROKEN
1257,lib/lib.c,infer,,toybox_0_7_5,MEMORY_LEAK,,986,False,generic
234,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
27,toys/posix/nohup.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,476,True,NOHUP
794,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
1514,toys/posix/ps.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
726,toys/posix/sed.c,infer,,toybox_0_7_5,DEAD_STORE,,494,True,SED
424,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
33,lib/password.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
30,toys/android/setenforce.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,492,True,SETENFORCE
479,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
736,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
79,toys/posix/comm.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,462,True,COMM
113,toys/posix/find.c,infer,,toybox_0_7_5,DEAD_STORE,,515,True,FIND
369,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
