line,filename,tool,target,type,num_configs,variability,automatic_features
105,toys/other/hexedit.c,CBMC,toybox_0_7_5,overflow,523,True,['CONFIG_HEXEDIT']
114,toys/other/losetup.c,CBMC,toybox_0_7_5,pointer dereference,536,True,['CONFIG_LOSETUP']
308,toys/posix/sed.c,CBMC,toybox_0_7_5,pointer dereference,505,True,['CONFIG_SED']
34,toys/other/printenv.c,CBMC,toybox_0_7_5,pointer dereference,507,True,['CONFIG_PRINTENV']
76,toys/posix/paste.c,CBMC,toybox_0_7_5,pointer dereference,520,True,['CONFIG_PASTE']
1230,toys/posix/ps.c,CBMC,toybox_0_7_5,pointer dereference,976,True,
84,toys/other/lspci.c,CBMC,toybox_0_7_5,pointer dereference,665,True,['CONFIG_LSPCI']
138,toys/posix/cp.c,CBMC,toybox_0_7_5,pointer dereference,910,True,
1282,toys/posix/ps.c,CBMC,toybox_0_7_5,assertion,976,True,
75,toys/posix/date.c,CBMC,toybox_0_7_5,overflow,516,True,['CONFIG_DATE']
84,toys/lsb/su.c,CBMC,toybox_0_7_5,pointer dereference,506,True,['CONFIG_SU']
81,toys/other/hexedit.c,CBMC,toybox_0_7_5,overflow,523,True,['CONFIG_HEXEDIT']
69,lib/llist.c,CBMC,toybox_0_7_5,pointer dereference,1000,False,"['-CONFIG_LOGGER', '-CONFIG_DHCP6', '-CONFIG_USERADD', '-CONFIG_OPENVT', '-CONFIG_WATCH', '-CONFIG_MDEV_CONF', '-CONFIG_IPCS', '-CONFIG_GZIP', '-CONFIG_MORE', '-CONFIG_GUNZIP', '-CONFIG_DIFF', '-CONFIG_DECOMPRESS', '-CONFIG_ARP', '-CONFIG_HOST', '-CONFIG_FOLD', '-CONFIG_GETFATTR', '-CONFIG_SETFATTR', '-CONFIG_TRACEROUTE', '-CONFIG_TEST', '-CONFIG_TFTP', '-CONFIG_FDISK', '-CONFIG_EXPR', '-CONFIG_WGET', '-CONFIG_IP', '-CONFIG_VI', '-CONFIG_SULOGIN', '-CONFIG_GROUPADD', '-CONFIG_TELNET', '-CONFIG_CRONTAB', '-CONFIG_BRCTL', '-CONFIG_LAST', '-CONFIG_MKE2FS_EXTENDED', '-CONFIG_MKE2FS', '-CONFIG_TFTPD', '-CONFIG_DHCPD', '-CONFIG_KLOGD', '-CONFIG_DEBUG_DHCP', '-CONFIG_CROND', '-CONFIG_BOOTCHARTD', '-CONFIG_INIT', '-CONFIG_DEALLOCVT', '-CONFIG_ICONV', '-CONFIG_MKE2FS_JOURNAL', '-CONFIG_MODPROBE', '-CONFIG_MKE2FS_LABEL', '-CONFIG_XZCAT', '-CONFIG_KLOGD_SOURCE_RING_BUFFER', '-CONFIG_TOYBOX_UID_SYS', '-CONFIG_TAR', '-CONFIG_PING', '-CONFIG_COMPRESS', '-CONFIG_TELNETD', '-CONFIG_FSCK', '-CONFIG_TOYBOX_UID_USR', '-CONFIG_MDEV', '-CONFIG_TR', '-CONFIG_DHCP', '-CONFIG_GROUPDEL', '-CONFIG_DD', '-CONFIG_ZCAT', '-CONFIG_DUMPLEASES', '-CONFIG_ROUTE', '-CONFIG_LSOF', '-CONFIG_USERDEL', '-CONFIG_SH', '-CONFIG_IPCRM', '-CONFIG_MKE2FS_GEN', '-CONFIG_GETTY', '-CONFIG_TCPSVD', '-CONFIG_SYSLOGD', '-CONFIG_ARPING']"
112,toys/posix/file.c,CBMC,toybox_0_7_5,pointer dereference,490,True,['CONFIG_FILE']
717,lib/xwrap.c,CBMC,toybox_0_7_5,overflow,1000,False,"['-CONFIG_LOGGER', '-CONFIG_DHCP6', '-CONFIG_USERADD', '-CONFIG_OPENVT', '-CONFIG_WATCH', '-CONFIG_MDEV_CONF', '-CONFIG_IPCS', '-CONFIG_GZIP', '-CONFIG_MORE', '-CONFIG_GUNZIP', '-CONFIG_DIFF', '-CONFIG_DECOMPRESS', '-CONFIG_ARP', '-CONFIG_HOST', '-CONFIG_FOLD', '-CONFIG_GETFATTR', '-CONFIG_SETFATTR', '-CONFIG_TRACEROUTE', '-CONFIG_TEST', '-CONFIG_TFTP', '-CONFIG_FDISK', '-CONFIG_EXPR', '-CONFIG_WGET', '-CONFIG_IP', '-CONFIG_VI', '-CONFIG_SULOGIN', '-CONFIG_GROUPADD', '-CONFIG_TELNET', '-CONFIG_CRONTAB', '-CONFIG_BRCTL', '-CONFIG_LAST', '-CONFIG_MKE2FS_EXTENDED', '-CONFIG_MKE2FS', '-CONFIG_TFTPD', '-CONFIG_DHCPD', '-CONFIG_KLOGD', '-CONFIG_DEBUG_DHCP', '-CONFIG_CROND', '-CONFIG_BOOTCHARTD', '-CONFIG_INIT', '-CONFIG_DEALLOCVT', '-CONFIG_ICONV', '-CONFIG_MKE2FS_JOURNAL', '-CONFIG_MODPROBE', '-CONFIG_MKE2FS_LABEL', '-CONFIG_XZCAT', '-CONFIG_KLOGD_SOURCE_RING_BUFFER', '-CONFIG_TOYBOX_UID_SYS', '-CONFIG_TAR', '-CONFIG_PING', '-CONFIG_COMPRESS', '-CONFIG_TELNETD', '-CONFIG_FSCK', '-CONFIG_TOYBOX_UID_USR', '-CONFIG_MDEV', '-CONFIG_TR', '-CONFIG_DHCP', '-CONFIG_GROUPDEL', '-CONFIG_DD', '-CONFIG_ZCAT', '-CONFIG_DUMPLEASES', '-CONFIG_ROUTE', '-CONFIG_LSOF', '-CONFIG_USERDEL', '-CONFIG_SH', '-CONFIG_IPCRM', '-CONFIG_MKE2FS_GEN', '-CONFIG_GETTY', '-CONFIG_TCPSVD', '-CONFIG_SYSLOGD', '-CONFIG_ARPING']"
51,toys/other/hexedit.c,CBMC,toybox_0_7_5,overflow,523,True,['CONFIG_HEXEDIT']
104,toys/other/oneit.c,CBMC,toybox_0_7_5,pointer dereference,516,True,"['CONFIG_ONEIT', '-CONFIG_TOYBOX_LSM_NONE']"
107,toys/other/taskset.c,CBMC,toybox_0_7_5,overflow,742,True,
492,toys/posix/find.c,CBMC,toybox_0_7_5,pointer dereference,524,True,['CONFIG_FIND']
