line,filename,tool,target,type,num_configs,variability,automatic_features
29,uudecode.c,clang,toybox_0_7_5,Logic error,494,True,['CONFIG_UUDECODE']
158,grep.c,clang,toybox_0_7_5,Logic error,515,True,['CONFIG_GREP']
193,date.c,clang,toybox_0_7_5,Dead store,516,True,['CONFIG_DATE']
214,lib_args.c,clang,toybox_0_7_5,Logic error,715,True,"['CONFIG_TOYBOX_FLOAT', '-CONFIG_SORT_BIG', '-CONFIG_SLEEP']"
66,timeout.c,clang,toybox_0_7_5,Logic error,355,True,"['CONFIG_TIMEOUT', 'CONFIG_TOYBOX_FLOAT', '-CONFIG_SORT_BIG', '-CONFIG_SLEEP']"
273,md5sum.c,clang,toybox_0_7_5,Logic error,629,True,
40,uuencode.c,clang,toybox_0_7_5,Dead store,519,True,['CONFIG_UUENCODE']
150,ftpget.c,clang,toybox_0_7_5,Logic error,748,True,
159,id.c,clang,toybox_0_7_5,Memory error,478,True,"['-CONFIG_TOYBOX_FREE', '-CONFIG_TOYBOX_LSM_NONE']"
49,switch_root.c,clang,toybox_0_7_5,Logic error,493,True,['CONFIG_SWITCH_ROOT']
21,lib_help.c,clang,toybox_0_7_5,Dead store,129,True,"['-CONFIG_TOYBOX_HELP', '-CONFIG_TOYBOX_HELP_DASHDASH', '-CONFIG_HELP_EXTRAS', '-CONFIG_HELP']"
186,netcat.c,clang,toybox_0_7_5,Logic error,298,True,"['CONFIG_NETCAT', 'CONFIG_NETCAT_LISTEN']"
51,vmstat.c,clang,toybox_0_7_5,Logic error,517,True,['CONFIG_VMSTAT']
184,xargs.c,clang,toybox_0_7_5,Logic error,675,True,['CONFIG_XARGS']
116,od.c,clang,toybox_0_7_5,Logic error,499,True,['CONFIG_OD']
