line,filename,tool,target,type,num_configs,variability,automatic_features
188,tail.c,cppcheck,toybox_0_7_5, (error) Memory is allocated but not initialized,665,True,['CONFIG_TAIL']
586,bzcat.c,cppcheck,toybox_0_7_5, (error) Possible null pointer dereference,694,True,
29,uudecode.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,494,True,['CONFIG_UUDECODE']
409,cp.c,cppcheck,toybox_0_7_5, (error) Null pointer dereference,406,True,['-CONFIG_MV']
63,lsm.h,cppcheck,toybox_0_7_5, (error) Uninitialized variable,4,True,"['CONFIG_KILL', 'CONFIG_UUDECODE', 'CONFIG_IFCONFIG', '-CONFIG_SETPROP', '-CONFIG_SEQ', 'CONFIG_RMMOD', '-CONFIG_LOAD_POLICY', '-CONFIG_GETPROP', 'CONFIG_PATCH', 'CONFIG_DOS2UNIX', 'CONFIG_MKTEMP', '-CONFIG_RFKILL', 'CONFIG_MOUNT', '-CONFIG_RUNCON', 'CONFIG_RESET', '-CONFIG_TOYBOX_SELINUX', 'CONFIG_NOHUP', '-CONFIG_TOYBOX_I18N', '-CONFIG_DIRNAME', 'CONFIG_SETSID', '-CONFIG_MKFIFO', '-CONFIG_RESTORECON', '-CONFIG_ENV', 'CONFIG_PRINTF', 'CONFIG_MKPASSWD', '-CONFIG_CAL', '-CONFIG_REALPATH', '-CONFIG_HWCLOCK', 'CONFIG_MKNOD', 'CONFIG_KILLALL', '-CONFIG_CHATTR', 'CONFIG_OD', '-CONFIG_DU', '-CONFIG_ONEIT', 'CONFIG_NETCAT', '-CONFIG_PASSWD_SAD', '-CONFIG_XARGS', '-CONFIG_MIX', '-CONFIG_BASENAME', '-CONFIG_LN', 'CONFIG_FIND', 'CONFIG_CUT', '-CONFIG_LOGIN', 'CONFIG_PRINTENV', 'CONFIG_TOYBOX_LIBCRYPTO', '-CONFIG_CAT_V', 'CONFIG_CAT', 'CONFIG_BLOCKDEV', 'CONFIG_CHOWN', 'CONFIG_CHROOT', 'CONFIG_SKELETON_ALIAS', 'CONFIG_PIVOT_ROOT', '-CONFIG_STOP', '-CONFIG_REV', 'CONFIG_ULIMIT', '-CONFIG_SETENFORCE', 'CONFIG_TOYBOX_LSM_NONE', '-CONFIG_CHCON', 'CONFIG_SORT', 'CONFIG_READAHEAD', '-CONFIG_TOYBOX_SMACK', '-CONFIG_GETENFORCE']"
89,hwclock.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,474,True,['CONFIG_HWCLOCK']
343,cp.c,cppcheck,toybox_0_7_5, (error) Null pointer dereference,406,True,['-CONFIG_MV']
86,main.c,cppcheck,toybox_0_7_5, (error) Null pointer dereference,563,True,['-CONFIG_TOYBOX_HELP_DASHDASH']
51,vmstat.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,517,True,['CONFIG_VMSTAT']
64,losetup.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,536,True,['CONFIG_LOSETUP']
137,date.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,516,True,['CONFIG_DATE']
