line,filename,tool,target,type,num_configs,variability
317,ifconfig.c,IKOS,toybox_0_7_5,signed-int-overflow,69,True
46,xxd.c,IKOS,toybox_0_7_5,signed-int-underflow,56,True
287,bzcat.c,IKOS,toybox_0_7_5,buffer-overflow,102,True
799,sed.c,IKOS,toybox_0_7_5,unknown-memory-access,63,True
165,blkid.c,IKOS,toybox_0_7_5,ignored-call-side-effect,28,True
22,setenforce.c,IKOS,toybox_0_7_5,buffer-overflow,60,True
64,pmap.c,IKOS,toybox_0_7_5,ignored-call-side-effect,59,True
125,ftpget.c,IKOS,toybox_0_7_5,buffer-overflow,96,True
32,chcon.c,IKOS,toybox_0_7_5,ignored-call-side-effect,61,True
146,md5sum.c,IKOS,toybox_0_7_5,signed-int-overflow,9,True
88,ifconfig.c,IKOS,toybox_0_7_5,ignored-call-side-effect,69,True
97,passwd.c,IKOS,toybox_0_7_5,ignored-call-side-effect,83,True
456,find.c,IKOS,toybox_0_7_5,signed-int-overflow,70,True
21,getmountlist.c,IKOS,toybox_0_7_5,unreachable,14,True
671,ps.c,IKOS,toybox_0_7_5,buffer-overflow,157,True
75,echo.c,IKOS,toybox_0_7_5,null-pointer-deref,53,True
567,bzcat.c,IKOS,toybox_0_7_5,buffer-overflow,102,True
195,md5sum.c,IKOS,toybox_0_7_5,buffer-overflow,9,True
716,ps.c,IKOS,toybox_0_7_5,signed-int-underflow,157,True
496,xwrap.c,IKOS,toybox_0_7_5,ignored-call-side-effect,157,True
22,getmountlist.c,IKOS,toybox_0_7_5,null-pointer-deref,157,True
96,inotifyd.c,IKOS,toybox_0_7_5,buffer-overflow,64,True
234,od.c,IKOS,toybox_0_7_5,unknown-memory-access,60,True
26,fsfreeze.c,IKOS,toybox_0_7_5,buffer-overflow,66,True
192,args.c,IKOS,toybox_0_7_5,unknown-memory-access,1000,False
445,bzcat.c,IKOS,toybox_0_7_5,null-pointer-deref,102,True
170,cut.c,IKOS,toybox_0_7_5,signed-int-overflow,57,True
937,lib.c,IKOS,toybox_0_7_5,unreachable,16,True
391,cp.c,IKOS,toybox_0_7_5,shift-count,57,True
565,bzcat.c,IKOS,toybox_0_7_5,signed-int-overflow,102,True
117,lsm.h,IKOS,toybox_0_7_5,ignored-call-side-effect,74,True
537,find.c,IKOS,toybox_0_7_5,unknown-memory-access,70,True
342,mount.c,IKOS,toybox_0_7_5,null-pointer-deref,62,True
176,password.c,IKOS,toybox_0_7_5,ignored-call-side-effect,83,True
83,grep.c,IKOS,toybox_0_7_5,ignored-call-side-effect,39,True
64,stat.c,IKOS,toybox_0_7_5,ignored-call-side-effect,59,True
126,hwclock.c,IKOS,toybox_0_7_5,ignored-store,49,True
145,tail.c,IKOS,toybox_0_7_5,signed-int-overflow,87,True
532,sed.c,IKOS,toybox_0_7_5,signed-int-underflow,63,True
1319,ps.c,IKOS,toybox_0_7_5,signed-int-underflow,108,True
417,ifconfig.c,IKOS,toybox_0_7_5,ignored-call-side-effect,69,True
187,patch.c,IKOS,toybox_0_7_5,ignored-call-side-effect,63,True
618,sed.c,IKOS,toybox_0_7_5,ignored-free,63,True
47,echo.c,IKOS,toybox_0_7_5,buffer-overflow,53,True
19,xwrap.c,IKOS,toybox_0_7_5,strcpy-buffer-overflow,137,True
885,lib.c,IKOS,toybox_0_7_5,unreachable,16,True
312,lib.c,IKOS,toybox_0_7_5,null-pointer-deref,1000,False
71,ifconfig.c,IKOS,toybox_0_7_5,ignored-call-side-effect,69,True
120,date.c,IKOS,toybox_0_7_5,ignored-call-side-effect,54,True
348,find.c,IKOS,toybox_0_7_5,unknown-memory-access,70,True
166,args.c,IKOS,toybox_0_7_5,null-pointer-deref,1000,False
219,bzcat.c,IKOS,toybox_0_7_5,buffer-overflow,102,True
139,id.c,IKOS,toybox_0_7_5,buffer-overflow,149,True
901,ps.c,IKOS,toybox_0_7_5,buffer-overflow,129,True
861,lib.c,IKOS,toybox_0_7_5,buffer-overflow,155,True
143,vmstat.c,IKOS,toybox_0_7_5,buffer-overflow,71,True
301,lib.c,IKOS,toybox_0_7_5,null-pointer-deref,1000,False
180,getmountlist.c,IKOS,toybox_0_7_5,null-pointer-deref,153,True
1509,ps.c,IKOS,toybox_0_7_5,ignored-call-side-effect,108,True
338,ls.c,IKOS,toybox_0_7_5,unreachable,74,True
291,mount.c,IKOS,toybox_0_7_5,null-pointer-deref,62,True
728,lib.c,IKOS,toybox_0_7_5,unknown-memory-access,167,True
909,sed.c,IKOS,toybox_0_7_5,null-pointer-deref,63,True
123,patch.c,IKOS,toybox_0_7_5,signed-int-overflow,63,True
300,bzcat.c,IKOS,toybox_0_7_5,signed-int-underflow,102,True
519,lib.c,IKOS,toybox_0_7_5,signed-int-overflow,219,True
1003,ps.c,IKOS,toybox_0_7_5,unknown-memory-access,129,True
737,lib.c,IKOS,toybox_0_7_5,ignored-free,167,True
164,getmountlist.c,IKOS,toybox_0_7_5,unreachable,18,True
410,xwrap.c,IKOS,toybox_0_7_5,unreachable,151,True
134,printf.c,IKOS,toybox_0_7_5,buffer-overflow,69,True
579,ps.c,IKOS,toybox_0_7_5,signed-int-overflow,129,True
243,mount.c,IKOS,toybox_0_7_5,buffer-overflow,62,True
142,du.c,IKOS,toybox_0_7_5,buffer-overflow,67,True
943,lib.c,IKOS,toybox_0_7_5,unreachable,16,True
434,sed.c,IKOS,toybox_0_7_5,null-pointer-deref,63,True
410,bzcat.c,IKOS,toybox_0_7_5,signed-int-overflow,102,True
76,expand.c,IKOS,toybox_0_7_5,unreachable,67,True
447,bzcat.c,IKOS,toybox_0_7_5,unreachable,102,True
41,renice.c,IKOS,toybox_0_7_5,buffer-overflow,51,True
726,ps.c,IKOS,toybox_0_7_5,signed-int-overflow,157,True
84,touch.c,IKOS,toybox_0_7_5,unreachable,56,True
234,cpio.c,IKOS,toybox_0_7_5,signed-int-overflow,59,True
92,linestack.c,IKOS,toybox_0_7_5,buffer-overflow,172,True
215,sort.c,IKOS,toybox_0_7_5,ignored-call-side-effect,45,True
299,sort.c,IKOS,toybox_0_7_5,signed-int-overflow,79,True
127,password.c,IKOS,toybox_0_7_5,null-pointer-deref,83,True
53,tail.c,IKOS,toybox_0_7_5,buffer-overflow,48,True
160,netstat.c,IKOS,toybox_0_7_5,buffer-overflow,59,True
71,xargs.c,IKOS,toybox_0_7_5,null-pointer-deref,73,True
74,patch.c,IKOS,toybox_0_7_5,unknown-memory-access,63,True
