line,filename,tool,target,type,num_configs,variability
118,netstat.c,cppcheck,toybox_0_7_5, (error) Resource leak,1,False
51,vmstat.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
975,lib.c,cppcheck,toybox_0_7_5, (error) Buffer is accessed out of bounds,1,False
35,base64.c,cppcheck,toybox_0_7_5, (error) Expression 'this.base64.columns&&++*x==this.base64.columns' depends on order of evaluation of side effects,1,False
60,blockdev.c,cppcheck,toybox_0_7_5," (error) Array 'cmds[11]' accessed at index 31, which is out of bounds.",1,False
89,hwclock.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
586,bzcat.c,cppcheck,toybox_0_7_5, (error) Possible null pointer dereference,1,False
309,args.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
49,switch_root.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
24,chvt.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
188,tail.c,cppcheck,toybox_0_7_5, (error) Memory is allocated but not initialized,1,False
96,hwclock.c,cppcheck,toybox_0_7_5, (error) Memory pointed to by 's' is freed twice.,1,False
137,date.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
64,losetup.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
63,lsm.h,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
29,uudecode.c,cppcheck,toybox_0_7_5, (error) Uninitialized variable,1,False
