line,filename,tool,target,type,num_configs,variability
779,toys/posix/sed.c,infer,toybox_0_7_5,DEAD_STORE,1,False
203,toys/lsb/md5sum.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
62,toys/posix/comm.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
377,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
26,toys/posix/pwd.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
53,main.c,infer,toybox_0_7_5,DEAD_STORE,1,False
227,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
126,scripts/mkflags.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
115,toys/other/hwclock.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
82,toys/net/rfkill.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
36,toys/other/mix.c,infer,toybox_0_7_5,DEAD_STORE,1,False
790,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1506,toys/posix/ps.c,infer,toybox_0_7_5,DEAD_STORE,1,False
90,toys/net/netcat.c,infer,toybox_0_7_5,DEAD_STORE,1,False
143,toys/lsb/md5sum.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
145,toys/posix/kill.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1257,lib/lib.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
1793,toys/posix/ps.c,infer,toybox_0_7_5,DEAD_STORE,1,False
151,toys/net/ftpget.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
286,lib/args.c,infer,toybox_0_7_5,DEAD_STORE,1,False
369,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
72,toys/other/modinfo.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
49,toys/other/taskset.c,infer,toybox_0_7_5,DEAD_STORE,1,False
912,toys/posix/sed.c,infer,toybox_0_7_5,DEAD_STORE,1,False
53,toys/other/mountpoint.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
928,toys/posix/sed.c,infer,toybox_0_7_5,DEAD_STORE,1,False
157,toys/lsb/md5sum.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
234,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
287,toys/posix/cpio.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
570,toys/posix/sed.c,infer,toybox_0_7_5,DEAD_STORE,1,False
40,toys/posix/uuencode.c,infer,toybox_0_7_5,DEAD_STORE,1,False
193,toys/posix/date.c,infer,toybox_0_7_5,DEAD_STORE,1,False
160,lib/args.c,infer,toybox_0_7_5,DEAD_STORE,1,False
219,toys/other/lsattr.c,infer,toybox_0_7_5,DEAD_STORE,1,False
1268,lib/lib.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
39,toys/posix/nohup.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
52,main.c,infer,toybox_0_7_5,DEAD_STORE,1,False
726,toys/posix/sed.c,infer,toybox_0_7_5,DEAD_STORE,1,False
264,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
625,lib/lib.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
111,toys/lsb/passwd.c,infer,toybox_0_7_5,DEAD_STORE,1,False
707,lib/lib.c,infer,toybox_0_7_5,DEAD_STORE,1,False
769,lib/lib.c,infer,toybox_0_7_5,DEAD_STORE,1,False
92,scripts/mkflags.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
33,lib/password.c,infer,toybox_0_7_5,DEAD_STORE,1,False
225,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
251,toys/other/bzcat.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
737,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
184,toys/posix/grep.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
228,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
94,toys/net/rfkill.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
76,toys/posix/comm.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
79,toys/posix/comm.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1456,toys/posix/ps.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
136,toys/posix/grep.c,infer,toybox_0_7_5,DEAD_STORE,1,False
118,toys/net/ifconfig.c,infer,toybox_0_7_5,DEAD_STORE,1,False
82,toys/posix/od.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
383,lib/xwrap.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
72,toys/other/oneit.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
20,toys/other/realpath.c,infer,toybox_0_7_5,DEAD_STORE,1,False
314,toys/lsb/mount.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
233,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
113,toys/posix/find.c,infer,toybox_0_7_5,DEAD_STORE,1,False
428,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
27,toys/posix/nohup.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
73,toys/other/oneit.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
479,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
263,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
238,toys/other/lsattr.c,infer,toybox_0_7_5,DEAD_STORE,1,False
1453,toys/posix/ps.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
68,toys/posix/comm.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
671,toys/posix/sed.c,infer,toybox_0_7_5,MEMORY_LEAK,1,False
1464,toys/posix/ps.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
397,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
215,toys/posix/grep.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1513,toys/posix/ps.c,infer,toybox_0_7_5,DEAD_STORE,1,False
54,toys/other/uptime.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
101,lib/xwrap.c,infer,toybox_0_7_5,DEAD_STORE,1,False
92,toys/posix/od.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
42,toys/other/nbd_client.c,infer,toybox_0_7_5,DEAD_STORE,1,False
458,lib/xwrap.c,infer,toybox_0_7_5,NULL_DEREFERENCE,1,False
242,toys/other/lsattr.c,infer,toybox_0_7_5,DEAD_STORE,1,False
736,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
794,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
253,toys/other/bzcat.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
147,toys/lsb/md5sum.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
213,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
150,toys/net/ftpget.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
349,toys/posix/ls.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
254,toys/other/bzcat.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
448,toys/posix/ps.c,infer,toybox_0_7_5,DEAD_STORE,1,False
85,toys/posix/od.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
1514,toys/posix/ps.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
232,lib/xwrap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
86,toys/other/pmap.c,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
63,lib/lsm.h,infer,toybox_0_7_5,UNINITIALIZED_VALUE,1,False
373,lib/xwrap.c,infer,toybox_0_7_5,RESOURCE_LEAK,1,False
