line,filename,tool,target,type,num_configs,variability
330,ssl/loader.c,infer,axtls_2_1_4,MEMORY_LEAK,1,False
640,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
169,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
609,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
476,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
633,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
1319,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
169,ssl/tls1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
301,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
1253,ssl/tls1.c,infer,axtls_2_1_4,DEAD_STORE,1,False
116,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
173,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
457,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
69,ssl/openssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
459,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
72,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
105,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
326,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
335,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
671,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
826,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
1112,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
276,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
670,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
344,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
406,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
479,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
669,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
614,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
286,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,1,False
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
151,samples/c/axssl.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
489,httpd/axhttpd.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,False
