line,filename,tool,target,type,num_configs,variability,automatic_features
627,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
104,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
315,crypto/aes.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
641,httpd/proc.c,infer,axtls_2_1_4,UNINITIALIZED_VALUE,2,True,"['CONFIG_SSL_USE_DEFAULT_KEY', 'CONFIG_HTTP_STATIC_BUILD', 'CONFIG_HTTP_CGI_EXTENSIONS', 'CONFIG_BIGINT_SLIDING_WINDOW', 'CONFIG_HTTP_USER', 'CONFIG_HTTP_HAS_CGI', 'CONFIG_HTTP_HAS_IPV6', 'CONFIG_INTEGER_8BIT', 'CONFIG_HTTP_IS_DAEMON', 'CONFIG_SSL_PROT_HIGH', 'CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_HTTP_VERBOSE', '-CONFIG_INTEGER_16BIT', '-CONFIG_INTEGER_32BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_USE_DEV_URANDOM', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_USE_PKCS12', '-CONFIG_SSL_GENERATE_X509_CERT', '-CONFIG_SSL_PROT_MEDIUM', '-CONFIG_DEBUG', '-CONFIG_C_SAMPLES', '-CONFIG_BIGINT_BARRETT', '-CONFIG_SSL_PROT_LOW']"
177,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,True,"['CONFIG_HTTP_DIRECTORIES', 'CONFIG_AXTLSWRAP', 'CONFIG_C_SAMPLES', 'CONFIG_BIGINT_CLASSICAL', 'CONFIG_SSL_GENERATE_X509_CERT', 'CONFIG_SSL_USE_PKCS12', 'CONFIG_SSL_USE_DEFAULT_KEY', 'CONFIG_HTTP_STATIC_BUILD', 'CONFIG_OPENSSL_COMPATIBLE', 'CONFIG_BIGINT_CRT', 'CONFIG_INTEGER_8BIT', 'CONFIG_SAMPLES', 'CONFIG_HTTP_IS_DAEMON', 'CONFIG_SSL_PROT_HIGH', '-CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_HTTP_VERBOSE', '-CONFIG_INTEGER_16BIT', '-CONFIG_BIGINT_CHECK_ON', '-CONFIG_HTTP_ENABLE_DIFFERENT_USER', '-CONFIG_HTTP_HAS_AUTHORIZATION', '-CONFIG_HTTP_HAS_IPV6', '-CONFIG_INTEGER_32BIT', '-CONFIG_HTTP_HAS_CGI', '-CONFIG_HTTP_USER', '-CONFIG_BIGINT_KARATSUBA', '-CONFIG_BIGINT_SLIDING_WINDOW', '-CONFIG_HTTP_CGI_EXTENSIONS', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_USE_DEV_URANDOM', '-CONFIG_BIGINT_SQUARE', '-CONFIG_SSL_CTX_MUTEXING', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_PROT_MEDIUM', '-CONFIG_DEBUG', '-MUL_KARATSUBA_THRESH', '-CONFIG_BIGINT_BARRETT', '-CONFIG_SSL_PROT_LOW']"
288,ssl/p12.c,infer,axtls_2_1_4,NULL_DEREFERENCE,1,True,"['CONFIG_HTTP_DIRECTORIES', 'CONFIG_AXTLSWRAP', 'CONFIG_C_SAMPLES', 'CONFIG_BIGINT_CLASSICAL', 'CONFIG_SSL_GENERATE_X509_CERT', 'CONFIG_SSL_USE_PKCS12', 'CONFIG_SSL_USE_DEFAULT_KEY', 'CONFIG_HTTP_STATIC_BUILD', 'CONFIG_OPENSSL_COMPATIBLE', 'CONFIG_BIGINT_CRT', 'CONFIG_INTEGER_8BIT', 'CONFIG_SAMPLES', 'CONFIG_HTTP_IS_DAEMON', 'CONFIG_SSL_PROT_HIGH', '-CONFIG_HTTP_CGI_LAUNCHER', '-CONFIG_SSL_HAS_PEM', '-CONFIG_HTTP_VERBOSE', '-CONFIG_INTEGER_16BIT', '-CONFIG_BIGINT_CHECK_ON', '-CONFIG_HTTP_ENABLE_DIFFERENT_USER', '-CONFIG_HTTP_HAS_AUTHORIZATION', '-CONFIG_HTTP_HAS_IPV6', '-CONFIG_INTEGER_32BIT', '-CONFIG_HTTP_HAS_CGI', '-CONFIG_HTTP_USER', '-CONFIG_BIGINT_KARATSUBA', '-CONFIG_BIGINT_SLIDING_WINDOW', '-CONFIG_HTTP_CGI_EXTENSIONS', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_USE_DEV_URANDOM', '-CONFIG_BIGINT_SQUARE', '-CONFIG_SSL_CTX_MUTEXING', '-CONFIG_BIGINT_MONTGOMERY', '-CONFIG_SSL_PROT_MEDIUM', '-CONFIG_DEBUG', '-MUL_KARATSUBA_THRESH', '-CONFIG_BIGINT_BARRETT', '-CONFIG_SSL_PROT_LOW']"
252,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
265,crypto/bigint.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
115,ssl/loader.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
464,ssl/asn1.c,infer,axtls_2_1_4,NULL_DEREFERENCE,5,False,"['CONFIG_INTEGER_8BIT', '-CONFIG_SSL_HAS_PEM', '-CONFIG_INTEGER_16BIT', '-CONFIG_STRIP_UNWANTED_SECTIONS', '-SQU_KARATSUBA_THRESH', '-CONFIG_SSL_PROT_LOW']"
